count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000,  0.460, -1.286, -0.134, 
2, 1000,  0.325, -1.303, -0.257, 
2, 1000, -0.417,  6.017, -0.012, 
2, 1000,  3.076,  4.844,  0.443, 
2, 1000,  5.324, -4.106,  0.188, 
2, 1000,  7.982,  6.233,  0.710, 
2, 1000,  5.648, -3.717,  0.189, 
2, 1000,  3.802,  4.752,  0.531, 
2, 1000, 13.672, -3.917,  0.569, 
2, 1000, -0.441,  5.851, -0.577, 
2, 1000, -0.117, -1.454, -0.315, 
2, 1000, 28.616,  7.033,  0.825, 
2, 1000,  8.339,  5.583,  0.623, 
2, 1000,  9.370,  4.998,  0.138, 

3, 1500,  0.337, -1.294, -0.289, 
3, 1500, -0.410,  6.000,  0.078, 
3, 1500,  3.090,  4.822,  0.500, 
3, 1500,  5.343, -3.774,  0.183, 
3, 1500,  7.953,  5.860,  0.862, 
3, 1500, 13.671, -3.931,  0.569, 
3, 1500, -0.119, -1.458, -0.316, 
3, 1500,  0.492, -1.268, -0.164, 
3, 1500, 10.142, -2.247,  0.291, 
3, 1500, -0.311, -4.424,  0.177, 
3, 1500,  0.279, -5.959,  0.520, 

4, 2000,  0.342, -1.292, -0.289, 
4, 2000, -0.517,  5.978,  0.078, 
4, 2000,  5.340, -3.772,  0.183, 
4, 2000, 13.693, -3.923,  0.570, 
4, 2000, -0.127, -1.467, -0.318, 
4, 2000, 10.113, -2.272,  0.135, 
4, 2000, -0.363, -4.407,  0.230, 
4, 2000,  0.124, -5.985,  0.420, 

5, 2500,  0.438, -1.279, -0.193, 
5, 2500, -0.409,  5.993,  0.078, 
5, 2500,  5.340, -3.772,  0.183, 
5, 2500, 13.663, -3.944,  0.569, 
5, 2500, -0.126, -1.455, -0.316, 
5, 2500, 10.142, -2.257,  0.291, 
5, 2500, -0.369, -4.422,  0.311, 
5, 2500,  8.007,  5.826,  0.764, 
5, 2500,  0.168,  8.063, -0.460, 
5, 2500,  3.099,  4.837,  0.501, 

6, 3000,  0.329, -1.307, -0.258, 
6, 3000, -0.415,  5.992,  0.078, 
6, 3000,  5.343, -3.758,  0.183, 
6, 3000, 13.697, -3.909,  0.570, 
6, 3000, -0.116, -1.459, -0.316, 
6, 3000, -0.342, -4.415,  0.386, 
6, 3000,  8.193,  5.545,  0.863, 
6, 3000,  0.495, -1.274, -0.165, 
6, 3000, 28.424,  7.288,  2.559, 
6, 3000,  0.251, -5.993,  0.312, 

7, 3500,  0.457, -1.276, -0.133, 
7, 3500, -0.472,  6.021,  0.079, 
7, 3500,  5.341, -3.765,  0.183, 
7, 3500, 13.676, -3.903,  0.569, 
7, 3500, -0.127, -1.585, -0.344, 
7, 3500, -0.347, -4.430,  0.178, 
7, 3500,  0.430, -5.984,  0.312, 
7, 3500,  3.083,  4.855,  0.444, 
7, 3500, 26.700,  0.614,  1.069, 

8, 4000,  0.438, -1.275, -0.193, 
8, 4000, -0.416,  6.002,  0.078, 
8, 4000,  5.237, -3.924, -0.013, 
8, 4000, 13.655, -3.927,  0.569, 
8, 4000, -0.119, -1.458, -0.316, 
8, 4000, -0.346, -4.415,  0.386, 
8, 4000,  0.364, -5.988,  0.312, 
8, 4000,  3.261,  4.748,  0.502, 
8, 4000, 28.566,  6.689,  0.822, 
8, 4000,  8.119,  5.627,  0.862, 
8, 4000, 10.140, -2.236,  0.291, 

9, 4500,  0.500, -1.267, -0.134, 
9, 4500, -0.416,  6.006,  0.078, 
9, 4500,  5.312, -3.736,  0.182, 
9, 4500, 13.662, -3.914,  0.569, 
9, 4500, -0.116, -1.457, -0.316, 
9, 4500, -0.329, -4.430,  0.231, 
9, 4500,  0.029, -6.000,  0.312, 
9, 4500,  3.255,  4.750,  0.502, 
9, 4500,  8.145,  5.620,  0.863, 

10, 5000,  0.444, -1.280, -0.133, 
10, 5000, -0.411,  6.009,  0.078, 
10, 5000,  5.234, -3.921, -0.013, 
10, 5000, 13.670, -3.901,  0.569, 
10, 5000, -0.121, -1.447, -0.314, 
10, 5000, -0.369, -4.420,  0.342, 
10, 5000,  3.052,  4.881,  0.502, 
10, 5000,  8.190,  5.531,  0.862, 
10, 5000,  0.293, -1.304, -0.323, 
10, 5000, 10.137, -2.246,  0.416, 
10, 5000, 24.661,  0.049,  0.691, 

11, 5500,  0.498, -1.262, -0.133, 
11, 5500, -0.416,  6.002,  0.078, 
11, 5500,  5.338, -3.755,  0.183, 
11, 5500, -0.125, -1.480, -0.321, 
11, 5500, -0.321, -4.435,  0.312, 
11, 5500,  3.155,  4.818,  0.502, 
11, 5500,  8.136,  5.626,  0.863, 
11, 5500,  0.291, -1.303, -0.322, 
11, 5500, 10.137, -2.256,  0.416, 
11, 5500, 23.794,  0.048,  0.666, 

12, 6000,  0.437, -1.282, -0.133, 
12, 6000, -0.404,  6.010,  0.078, 
12, 6000,  5.340, -3.764,  0.183, 
12, 6000, -0.106, -1.451, -0.315, 
12, 6000, -0.350, -4.406,  0.230, 
12, 6000,  3.057,  4.878,  0.502, 
12, 6000,  8.131,  5.610,  0.862, 
12, 6000,  0.101, -5.984,  0.522, 
12, 6000, 13.680, -3.904,  0.569, 

13, 6500,  0.444, -1.281, -0.194, 
13, 6500, -0.410,  5.996,  0.078, 
13, 6500,  5.337, -3.738,  0.182, 
13, 6500, -0.116, -1.461, -0.317, 
13, 6500, -0.355, -4.423,  0.231, 
13, 6500,  3.104,  4.834,  0.501, 
13, 6500,  8.125,  5.619,  0.862, 
13, 6500,  0.023, -6.002,  0.312, 
13, 6500, 13.665, -3.885,  0.569, 
13, 6500,  0.298, -1.302, -0.323, 
13, 6500, 10.133, -2.245,  0.291, 

14, 7000,  0.440, -1.284, -0.195, 
14, 7000, -0.408,  6.003,  0.078, 
14, 7000,  5.336, -3.747,  0.182, 
