count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
2, 1000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
3, 1500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
4, 2000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
5, 2500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
6, 3000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
7, 3500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
8, 4000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
9, 4500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
10, 5000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
11, 5500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
12, 6000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
13, 6500,  0.000, -0.000,  0.000,  0.000, -0.000,  0.001, 
14, 7000,  0.008, -0.000,  0.000,  0.000, -0.000,  0.001, 
15, 7500,  0.029, -0.000,  0.000,  0.000, -0.000,  0.001, 
16, 8000,  0.101,  0.000,  0.000,  0.000, -0.000,  0.002, 
17, 8500,  0.276, -0.000,  0.000,  0.000,  0.000, -0.003, 
18, 9000,  0.530, -0.001,  0.000,  0.000,  0.000, -0.002, 
19, 9500,  0.860, -0.000,  0.000,  0.000,  0.000, -0.000, 
20, 10000,  1.246,  0.005,  0.000,  0.000, -0.000,  0.009, 
21, 10500,  1.635, -0.001,  0.000,  0.000,  0.000, -0.020, 
22, 11000,  2.030, -0.013,  0.000,  0.000,  0.000, -0.036, 
23, 11500,  2.421, -0.027,  0.000,  0.000,  0.000, -0.033, 
24, 12000,  2.810, -0.034,  0.000,  0.000,  0.000, -0.022, 
25, 12500,  3.217, -0.042,  0.000,  0.000,  0.000, -0.022, 
26, 13000,  3.602, -0.053,  0.000,  0.000,  0.000, -0.023, 
27, 13500,  3.994, -0.058,  0.000,  0.000,  0.000, -0.014, 
28, 14000,  4.382, -0.064,  0.000,  0.000,  0.000, -0.017, 
29, 14500,  4.768, -0.071,  0.000,  0.000,  0.000, -0.021, 
30, 15000,  5.163, -0.096,  0.000,  0.000,  0.000, -0.102, 
31, 15500,  5.538, -0.155,  0.000,  0.000,  0.000, -0.178, 
32, 16000,  5.914, -0.227,  0.000,  0.000,  0.000, -0.186, 
33, 16500,  6.300, -0.293,  0.000,  0.000,  0.000, -0.174, 
34, 17000,  6.683, -0.363,  0.000,  0.000,  0.000, -0.177, 
35, 17500,  7.083, -0.423,  0.000,  0.000,  0.000, -0.151, 
36, 18000,  7.421, -0.449,  0.000,  0.000,  0.000, -0.107, 
37, 18500,  7.815, -0.488,  0.000,  0.000,  0.000, -0.104, 
38, 19000,  8.214, -0.534,  0.000,  0.000,  0.000, -0.115, 
39, 19500,  8.611, -0.576,  0.000,  0.000,  0.000, -0.102, 
40, 20000,  9.001, -0.617,  0.000,  0.000,  0.000, -0.105, 
41, 20500,  9.399, -0.661,  0.000,  0.000,  0.000, -0.113, 
42, 21000,  9.780, -0.713,  0.000,  0.000,  0.000, -0.133, 
43, 21500, 10.171, -0.776,  0.000,  0.000,  0.000, -0.154, 
44, 22000, 10.539, -0.825,  0.000,  0.000,  0.000, -0.131, 
45, 22500, 10.932, -0.875,  0.000,  0.000,  0.000, -0.127, 
46, 23000, 11.323, -0.912,  0.000,  0.000,  0.000, -0.059, 
47, 23500, 11.707, -0.928,  0.000,  0.000,  0.000, -0.047, 
48, 24000, 12.102, -0.951,  0.000,  0.000,  0.000, -0.055, 
49, 24500, 12.483, -0.972,  0.000,  0.000,  0.000, -0.055, 
50, 25000, 12.859, -0.990,  0.000,  0.000,  0.000, -0.047, 
51, 25500, 13.252, -1.020,  0.000,  0.000,  0.000, -0.090, 
52, 26000, 13.633, -1.070,  0.000,  0.000,  0.000, -0.132, 
53, 26500, 14.017, -1.145,  0.000,  0.000,  0.000, -0.196, 
54, 27000, 14.376, -1.287,  0.000,  0.000,  0.000, -0.427, 
55, 27500, 14.682, -1.484,  0.000,  0.000,  0.000, -0.663, 
56, 28000, 14.959, -1.748,  0.000,  0.000,  0.000, -0.784, 
57, 28500, 15.212, -2.029,  0.000,  0.000,  0.000, -0.864, 
58, 29000, 15.428, -2.347,  0.000,  0.000,  0.000, -1.090, 
59, 29500, 15.562, -2.700,  0.000,  0.000,  0.000, -1.322, 
60, 30000, 15.617, -3.073,  0.000,  0.000,  0.000, -1.501, 
61, 30500, 15.618, -3.449,  0.000,  0.000,  0.000, -1.587, 
62, 31000, 15.586, -3.823,  0.000,  0.000,  0.000, -1.685, 
63, 31500, 15.510, -4.199,  0.000,  0.000,  0.000, -1.791, 
64, 32000, 15.400, -4.568,  0.000,  0.000,  0.000, -1.872, 
65, 32500, 15.266, -4.924,  0.000,  0.000,  0.000, -1.927, 
66, 33000, 15.126, -5.273,  0.000,  0.000,  0.000, -1.950, 
67, 33500, 14.965, -5.623,  0.000,  0.000,  0.000, -1.987, 
68, 34000, 14.795, -5.967,  0.000,  0.000,  0.000, -2.015, 
69, 34500, 14.615, -6.308,  0.000,  0.000,  0.000, -2.045, 
70, 35000, 14.436, -6.641,  0.000,  0.000,  0.000, -2.054, 
71, 35500, 14.247, -6.978,  0.000,  0.000,  0.000, -2.076, 
