count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
2, 1000, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
3, 1500, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
4, 2000, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
5, 2500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
6, 3000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
7, 3500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
8, 4000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
9, 4500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
10, 5000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
11, 5500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
12, 6000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
13, 6500, 0.015, -0.000, 0.000, 0.000, 0.000, -0.002, 
14, 7000, 0.046, -0.001, 0.000, 0.000, 0.000, -0.005, 
15, 7500, 0.161, -0.001, 0.000, 0.000, 0.000, -0.004, 
16, 8000, 0.291, 0.002, 0.000, 0.000, -0.000, 0.014, 
17, 8500, 0.486, 0.034, 0.000, 0.000, -0.000, 0.119, 
18, 9000, 0.755, 0.094, 0.000, 0.000, -0.000, 0.204, 
19, 9500, 1.104, 0.171, 0.000, 0.000, -0.000, 0.213, 
20, 10000, 1.493, 0.253, 0.000, 0.000, -0.000, 0.211, 
21, 10500, 1.881, 0.338, 0.000, 0.000, -0.000, 0.211, 
22, 11000, 2.274, 0.415, 0.000, 0.000, -0.000, 0.193, 
23, 11500, 2.669, 0.465, 0.000, 0.000, -0.000, 0.127, 
24, 12000, 3.057, 0.506, 0.000, 0.000, -0.000, 0.102, 
25, 12500, 3.452, 0.538, 0.000, 0.000, -0.000, 0.086, 
26, 13000, 3.846, 0.571, 0.000, 0.000, -0.000, 0.077, 
27, 13500, 4.244, 0.597, 0.000, 0.000, -0.000, 0.070, 
28, 14000, 4.640, 0.626, 0.000, 0.000, -0.000, 0.071, 
29, 14500, 5.037, 0.657, 0.000, 0.000, -0.000, 0.078, 
30, 15000, 5.432, 0.692, 0.000, 0.000, -0.000, 0.088, 
31, 15500, 5.830, 0.727, 0.000, 0.000, -0.000, 0.087, 
32, 16000, 6.227, 0.762, 0.000, 0.000, -0.000, 0.092, 
33, 16500, 6.623, 0.801, 0.000, 0.000, -0.000, 0.098, 
34, 17000, 7.020, 0.841, 0.000, 0.000, -0.000, 0.101, 
35, 17500, 7.415, 0.886, 0.000, 0.000, -0.000, 0.116, 
36, 18000, 7.812, 0.934, 0.000, 0.000, -0.000, 0.118, 
37, 18500, 8.208, 0.977, 0.000, 0.000, -0.000, 0.108, 
38, 19000, 8.603, 1.017, 0.000, 0.000, -0.000, 0.100, 
39, 19500, 8.981, 1.041, 0.000, 0.000, -0.000, 0.054, 
40, 20000, 9.387, 1.027, 0.000, 0.000, 0.000, -0.038, 
41, 20500, 9.777, 1.009, 0.000, 0.000, 0.000, -0.040, 
42, 21000, 10.175, 1.000, 0.000, 0.000, 0.000, -0.023, 
43, 21500, 10.573, 0.995, 0.000, 0.000, 0.000, -0.014, 
44, 22000, 10.965, 0.992, 0.000, 0.000, 0.000, -0.008, 
45, 22500, 11.335, 0.972, 0.000, 0.000, 0.000, -0.070, 
46, 23000, 11.704, 0.882, 0.000, 0.000, 0.000, -0.252, 
47, 23500, 12.074, 0.742, 0.000, 0.000, 0.000, -0.364, 
48, 24000, 12.433, 0.576, 0.000, 0.000, 0.000, -0.431, 
49, 24500, 12.793, 0.408, 0.000, 0.000, 0.000, -0.435, 
50, 25000, 13.153, 0.242, 0.000, 0.000, 0.000, -0.433, 
51, 25500, 13.513, 0.077, 0.000, 0.000, 0.000, -0.429, 
52, 26000, 13.833, -0.068, 0.000, 0.000, 0.000, -0.425, 
53, 26500, 14.018, -0.157, 0.000, 0.000, 0.000, -0.445, 
54, 27000, 14.207, -0.252, 0.000, 0.000, 0.000, -0.459, 
55, 27500, 14.497, -0.419, 0.000, 0.000, 0.000, -0.516, 
56, 28000, 14.673, -0.517, 0.000, 0.000, 0.000, -0.513, 
57, 28500, 14.683, -0.537, 0.000, 0.000, 0.000, -0.577, 
58, 29000, 14.693, -0.541, 0.000, 0.000, 0.000, -0.568, 
59, 29500, 14.701, -0.546, 0.000, 0.000, 0.000, -0.569, 
60, 30000, 14.709, -0.551, 0.000, 0.000, 0.000, -0.569, 
61, 30500, 14.717, -0.557, 0.000, 0.000, 0.000, -0.568, 
62, 31000, 14.726, -0.562, 0.000, 0.000, 0.000, -0.566, 
63, 31500, 14.735, -0.568, 0.000, 0.000, 0.000, -0.567, 
64, 32000, 14.746, -0.575, 0.000, 0.000, 0.000, -0.567, 
65, 32500, 14.755, -0.580, 0.000, 0.000, 0.000, -0.567, 
66, 33000, 14.764, -0.586, 0.000, 0.000, 0.000, -0.568, 
67, 33500, 14.773, -0.592, 0.000, 0.000, 0.000, -0.568, 
68, 34000, 14.780, -0.597, 0.000, 0.000, 0.000, -0.569, 
69, 34500, 14.788, -0.602, 0.000, 0.000, 0.000, -0.570, 
70, 35000, 14.796, -0.607, 0.000, 0.000, 0.000, -0.569, 
71, 35500, 14.806, -0.614, 0.000, 0.000, 0.000, -0.569, 
