mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

4, 38, 19000, -15.021, -52.757, -0.236, 
4, 852, 426000, -14.969, -52.051, -0.187, 

4, 38, 19000, -23.622, -53.161,  0.485, 
4, 852, 426000, -23.614, -53.224,  0.287, 

4, 38, 19000, -18.741, -53.656, -0.389, 
4, 852, 426000, -18.830, -53.593, -0.386, 

4, 38, 19000, -10.498, -58.800, -0.019, 
4, 852, 426000, -10.185, -58.519, -0.021, 

4, 37, 18500, -23.643, -53.073,  0.223, 
4, 851, 425500, -23.608, -53.221,  0.426, 

4, 37, 18500, -18.777, -53.628, -0.342, 
4, 851, 425500, -18.597, -53.571, -0.344, 

4, 37, 18500, -15.042, -52.702,  0.165, 
4, 851, 425500, -15.016, -52.558,  0.132, 

4, 36, 18000, -16.269, -51.898, -0.188, 
4, 850, 425000, -14.998, -52.312,  0.203, 

4, 36, 18000, -23.643, -53.080,  0.073, 
4, 850, 425000, -23.459, -53.688, -0.011, 

4, 36, 18000, -18.920, -53.547, -0.363, 
4, 850, 425000, -18.714, -53.534, -0.267, 

4, 36, 18000, -18.763, -53.683,  0.103, 
4, 850, 425000, -18.547, -53.610,  0.145, 

4, 35, 17500, -22.748, -55.233,  0.464, 
4, 849, 424500, -22.682, -55.312, -0.111, 

4, 35, 17500, -23.611, -53.222,  0.158, 
4, 849, 424500, -23.605, -53.221,  0.349, 

4, 35, 17500, -18.737, -53.601, -0.356, 
4, 849, 424500, -18.759, -53.617, -0.142, 

4, 35, 17500, -12.679, -63.086,  1.132, 
4, 849, 424500, -12.335, -63.190,  1.153, 

4, 35, 17500, -14.963, -52.007, -0.063, 
4, 849, 424500, -14.961, -51.911, -0.007, 

4, 35, 17500, -14.946, -51.580, -0.253, 
4, 849, 424500, -14.966, -51.555, -0.253, 

4, 34, 17000, -14.978, -51.088, -0.473, 
4, 848, 424000, -14.960, -51.088, -0.256, 

4, 34, 17000, -23.604, -53.168,  0.401, 
4, 848, 424000, -23.617, -53.201,  0.160, 

4, 34, 17000, -18.771, -53.609, -0.330, 
4, 848, 424000, -18.801, -53.553, -0.403, 

4, 34, 17000, -15.062, -52.619,  0.103, 
4, 848, 424000, -15.040, -52.570,  0.149, 

4, 34, 17000, -22.777, -55.217, -0.012, 
4, 848, 424000, -22.709, -55.269,  0.437, 

4, 33, 16500, -14.982, -50.977, -0.410, 
4, 847, 423500, -14.994, -51.156, -0.265, 

4, 33, 16500, -22.772, -55.211,  0.557, 
4, 847, 423500, -22.868, -55.085,  0.264, 

4, 33, 16500, -23.647, -53.048,  0.163, 
4, 847, 423500, -23.655, -53.117,  0.076, 

4, 33, 16500, -18.940, -53.558, -0.452, 
4, 847, 423500, -18.896, -53.547, -0.388, 

4, 33, 16500, -12.551, -49.462, -0.337, 
4, 847, 423500, -12.504, -49.419, -0.221, 

4, 32, 16000, -22.785, -55.147,  0.576, 
4, 846, 423000, -22.861, -55.092,  0.261, 

4, 32, 16000, -19.301, -53.530,  0.093, 
4, 846, 423000, -19.212, -53.534,  0.145, 

4, 32, 16000, -23.642, -53.075,  0.423, 
4, 846, 423000, -23.645, -53.096,  0.315, 

4, 32, 16000, -18.803, -53.557, -0.402, 
4, 846, 423000, -18.855, -53.542, -0.431, 

4, 32, 16000, -18.688, -53.652, -0.010, 
4, 846, 423000, -18.938, -53.587,  0.236, 

4, 32, 16000, -24.527, -50.782,  0.321, 
4, 846, 423000, -24.562, -50.828,  0.542, 

4, 32, 16000, -14.927, -50.690, -0.198, 
4, 846, 423000, -14.939, -50.548, -0.265, 

4, 31, 15500, -14.980, -50.685, -0.519, 
4, 845, 422500, -14.945, -50.573, -0.349, 

4, 31, 15500, -22.844, -55.119,  0.429, 
4, 845, 422500, -22.863, -55.109,  0.477, 

4, 31, 15500, -19.234, -53.536,  0.110, 
4, 845, 422500, -19.257, -53.514,  0.106, 

4, 31, 15500, -23.668, -53.032,  0.079, 
4, 845, 422500, -23.713, -53.009,  0.080, 

4, 31, 15500, -18.904, -53.528, -0.373, 
4, 845, 422500, -19.066, -53.482, -0.475, 

4, 31, 15500, -24.528, -50.716,  0.080, 
4, 845, 422500, -24.565, -49.605, -0.117, 

4, 30, 15000, -22.707, -50.031, -0.242, 
4, 844, 422000, -23.220, -49.044,  0.295, 

4, 30, 15000, -15.005, -50.688, -0.618, 
4, 844, 422000, -14.900, -50.325, -0.358, 

4, 30, 15000, -22.873, -55.135,  0.092, 
4, 844, 422000, -22.842, -55.159,  0.292, 

4, 30, 15000, -23.709, -53.000,  0.444, 
4, 844, 422000, -23.655, -53.056,  0.447, 

4, 30, 15000, -18.859, -53.521, -0.423, 
4, 844, 422000, -18.921, -53.504, -0.318, 

4, 29, 14500, -22.833, -49.308,  0.056, 
4, 843, 421500, -23.216, -48.777,  0.130, 

4, 29, 14500, -14.995, -50.598, -0.576, 
4, 843, 421500, -14.905, -50.327, -0.379, 

4, 29, 14500, -22.837, -55.098,  0.102, 
4, 843, 421500, -22.704, -55.268,  0.305, 

4, 29, 14500, -23.650, -52.987,  0.491, 
4, 843, 421500, -24.593, -50.707,  0.178, 

4, 29, 14500, -15.484, -48.354, -0.529, 
4, 843, 421500, -15.176, -48.413, -0.187, 

4, 29, 14500, -12.711, -62.953,  1.170, 
4, 843, 421500, -12.231, -63.107,  1.345, 

4, 29, 14500, -12.602, -49.170, -0.585, 
4, 843, 421500, -12.661, -49.124, -0.696, 

4, 29, 14500, -18.931, -53.471, -0.434, 
4, 843, 421500, -19.135, -53.461, -0.352, 

4, 29, 14500, -18.679, -53.579,  0.062, 
4, 843, 421500, -19.221, -53.498,  0.193, 

4, 28, 14000, -14.899, -50.414, -0.415, 
4, 842, 421000, -14.888, -50.333, -0.299, 

4, 28, 14000, -19.453, -53.467,  0.133, 
4, 842, 421000, -19.272, -53.499,  0.191, 

4, 28, 14000, -23.732, -52.992,  0.471, 
4, 842, 421000, -23.741, -52.993,  0.481, 

4, 28, 14000, -15.499, -48.338, -0.453, 
4, 842, 421000, -15.481, -48.197, -0.057, 

4, 28, 14000, -12.620, -62.898,  0.967, 
4, 842, 421000, -12.792, -63.037,  1.353, 

4, 28, 14000, -13.739, -48.649,  0.381, 
4, 842, 421000, -12.647, -49.199, -0.578, 

4, 28, 14000, -22.697, -50.060, -0.244, 
4, 842, 421000, -23.217, -48.478,  0.249, 

4, 27, 13500, -23.173, -48.612,  0.274, 
4, 841, 420500, -23.210, -48.147,  0.128, 

4, 27, 13500, -14.878, -50.314, -0.333, 
4, 841, 420500, -14.888, -50.302, -0.239, 

4, 27, 13500, -23.631, -52.997,  0.358, 
4, 841, 420500, -24.551, -50.789,  0.268, 

4, 27, 13500, -15.514, -48.219, -0.393, 
4, 841, 420500, -15.482, -48.144, -0.006, 

4, 27, 13500, -18.873, -53.434, -0.303, 
4, 841, 420500, -19.041, -53.511,  0.149, 

4, 26, 13000, -23.182, -48.266, -0.009, 
4, 840, 420000, -23.236, -48.076,  0.062, 

4, 26, 13000, -15.542, -48.241, -0.395, 
4, 840, 420000, -15.500, -48.006,  0.038, 

4, 26, 13000, -14.979, -50.428, -0.450, 
4, 840, 420000, -14.869, -50.284, -0.255, 

4, 26, 13000, -23.666, -52.986,  0.091, 
4, 840, 420000, -24.545, -50.811,  0.592, 

4, 25, 12500, -23.168, -47.858,  0.117, 
4, 839, 419500, -23.252, -47.718,  0.250, 

4, 25, 12500, -15.532, -47.799, -0.325, 
4, 839, 419500, -15.516, -47.744, -0.006, 

4, 25, 12500, -14.910, -50.322, -0.377, 
4, 839, 419500, -14.981, -50.382, -0.258, 

4, 25, 12500, -23.018, -54.980,  0.348, 
4, 839, 419500, -23.234, -54.947,  0.245, 

4, 25, 12500, -19.337, -53.417,  0.169, 
4, 839, 419500, -19.179, -53.443, -0.235, 

4, 25, 12500, -23.785, -52.881, -0.014, 
4, 839, 419500, -24.658, -50.584,  0.359, 

4, 24, 12000, -15.541, -46.954, -0.125, 
4, 838, 419000, -15.474, -47.341, -0.424, 

4, 24, 12000, -23.175, -47.792,  0.376, 
4, 838, 419000, -23.248, -47.778,  0.252, 

4, 24, 12000, -14.971, -50.387, -0.298, 
4, 838, 419000, -14.963, -50.372, -0.268, 

4, 24, 12000, -22.980, -54.992,  0.255, 
4, 838, 419000, -23.769, -52.972,  0.495, 

4, 24, 12000, -17.259, -60.712,  0.557, 
4, 838, 419000, -13.129, -63.289,  1.306, 

4, 23, 11500, -15.520, -46.921, -0.130, 
4, 837, 418500, -15.464, -47.307, -0.424, 

4, 23, 11500, -22.864, -48.949,  0.058, 
4, 837, 418500, -23.203, -47.985,  0.208, 

4, 23, 11500, -12.803, -62.914,  1.207, 
4, 837, 418500, -12.393, -62.909,  1.325, 

4, 23, 11500, -23.735, -52.918,  0.310, 
4, 837, 418500, -24.546, -50.779,  0.205, 

4, 23, 11500, -14.896, -50.335, -0.418, 
4, 837, 418500, -14.815, -50.225, -0.381, 

4, 23, 11500, -22.966, -54.991,  0.373, 
4, 837, 418500, -22.749, -55.168,  0.396, 

4, 23, 11500, -30.087, -47.399,  0.447, 
4, 837, 418500, -30.165, -47.605,  0.614, 

4, 22, 11000, -15.494, -46.305, -0.066, 
4, 836, 418000, -15.500, -46.343, -0.536, 

4, 22, 11000, -22.889, -48.972,  0.065, 
4, 836, 418000, -23.168, -48.082,  0.215, 

4, 22, 11000, -12.707, -62.871,  1.356, 
4, 836, 418000, -12.212, -62.800,  1.524, 

4, 22, 11000, -23.748, -52.929,  0.330, 
4, 836, 418000, -24.495, -50.870,  0.312, 

4, 22, 11000, -14.819, -50.289, -0.334, 
4, 836, 418000, -14.768, -50.135, -0.196, 

4, 22, 11000, -23.145, -54.950,  0.123, 
4, 836, 418000, -22.679, -55.196,  0.401, 

4, 22, 11000, -30.069, -48.059,  0.696, 
4, 836, 418000, -30.114, -47.951,  0.916, 

4, 21, 10500, -15.510, -45.931, -0.066, 
4, 835, 417500, -15.553, -46.152, -0.521, 

4, 21, 10500, -22.834, -48.996,  0.135, 
4, 835, 417500, -23.168, -48.084,  0.212, 

4, 21, 10500, -30.049, -48.001,  0.786, 
4, 835, 417500, -30.189, -47.612,  0.843, 

4, 21, 10500, -23.648, -53.011,  0.109, 
4, 835, 417500, -24.645, -50.684,  0.323, 

4, 21, 10500, -14.821, -50.295, -0.346, 
4, 835, 417500, -14.938, -50.268, -0.210, 

4, 21, 10500, -23.039, -54.980,  0.520, 
