mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

6, 28, 14000, 10.215, -2.497, -0.012, 
6, 1342, 671000, -19.190, -19.258, -0.009, 

6, 28, 14000,  7.981, -5.979,  0.079, 
6, 1342, 671000, -21.021, -22.989,  0.435, 

6, 28, 14000, 21.903, -2.303,  1.314, 
6, 1342, 671000, -7.400, -18.561,  1.094, 

6, 28, 14000,  9.495,  4.853,  0.383, 
6, 1342, 671000, -20.930, -12.002,  0.071, 

6, 28, 14000, 13.641, -4.300, -0.016, 
6, 1342, 671000, -15.497, -20.483,  0.106, 

6, 27, 13500,  6.161,  6.805,  0.183, 
6, 1341, 670500, -24.388, -10.430,  0.184, 

6, 27, 13500,  9.267,  4.951, -0.109, 
6, 1341, 670500, -21.028, -12.000, -0.104, 

6, 27, 13500, 10.178, -2.499,  0.182, 
6, 1341, 670500, -19.176, -19.226,  0.127, 

6, 27, 13500,  7.970, -5.966,  0.080, 
6, 1341, 670500, -21.023, -22.998,  0.543, 

6, 27, 13500, 13.739, -4.110, -0.016, 
6, 1341, 670500, -15.508, -20.483,  0.231, 

6, 27, 13500, 21.621, -3.000,  1.061, 
6, 1341, 670500, -7.390, -18.566,  1.212, 

6, 26, 13000,  5.935, -3.687, -0.140, 
6, 1340, 670000, -23.231, -21.033, -0.074, 

6, 26, 13000,  5.727,  6.241,  0.168, 
6, 1340, 670000, -24.691, -11.277,  0.375, 

6, 26, 13000,  9.269,  4.942, -0.113, 
6, 1340, 670000, -21.041, -12.009, -0.011, 

6, 26, 13000, 10.219, -2.445,  0.132, 
6, 1340, 670000, -19.194, -19.274,  0.248, 

6, 26, 13000,  7.932, -5.976,  0.174, 
6, 1340, 670000, -21.028, -23.025,  0.176, 

6, 26, 13000, 21.617, -2.690,  1.208, 
6, 1340, 670000, -7.421, -18.661,  1.403, 

6, 25, 12500,  6.020, -3.629, -0.137, 
6, 1339, 669500, -23.345, -20.940, -0.215, 

6, 25, 12500,  5.377,  5.231,  0.323, 
6, 1339, 669500, -24.815, -12.238,  0.204, 

6, 25, 12500, 10.259, -2.319,  0.268, 
6, 1339, 669500, -19.200, -19.281,  0.068, 

6, 25, 12500,  9.399,  4.850,  0.517, 
6, 1339, 669500, -21.264, -11.811,  0.463, 

6, 25, 12500,  8.084, -5.919,  0.444, 
6, 1339, 669500, -21.052, -23.045,  0.262, 

6, 25, 12500, 20.985, -0.194,  1.321, 
6, 1339, 669500, -7.382, -18.595,  0.846, 

6, 24, 12000,  6.016, -3.643, -0.138, 
6, 1338, 669000, -23.370, -20.935, -0.214, 

6, 24, 12000,  5.035,  4.800,  0.297, 
6, 1338, 669000, -25.109, -12.663,  0.061, 

6, 24, 12000,  9.075,  5.038, -0.115, 
6, 1338, 669000, -20.960, -12.037, -0.012, 

6, 24, 12000, 22.097, -2.605,  0.467, 
6, 1338, 669000, -7.425, -18.776,  1.281, 

6, 24, 12000, 10.261, -2.343, -0.314, 
6, 1338, 669000, -19.210, -19.308, -0.098, 

6, 23, 11500,  5.778, -3.743, -0.008, 
6, 1337, 668500, -23.381, -20.972, -0.145, 

6, 23, 11500,  5.080,  4.813, -0.010, 
6, 1337, 668500, -25.024, -12.575,  0.062, 

6, 23, 11500,  9.059,  5.036, -0.013, 
6, 1337, 668500, -21.095, -11.994, -0.012, 

6, 23, 11500, 10.243, -2.312,  0.155, 
6, 1337, 668500, -19.206, -19.237,  0.297, 

6, 23, 11500, 21.990, -2.709,  1.328, 
6, 1337, 668500, -7.387, -18.542,  0.902, 

6, 23, 11500,  4.721,  4.635,  0.125, 
6, 1337, 668500, -25.374, -12.754,  0.060, 

6, 23, 11500,  8.364,  5.539,  0.558, 
6, 1337, 668500, -21.859, -11.467,  0.558, 

6, 22, 11000,  5.718, -3.717, -0.008, 
6, 1336, 668000, -23.615, -21.037, -0.303, 

6, 22, 11000,  4.714,  4.638,  0.129, 
6, 1336, 668000, -25.313, -12.749,  0.129, 

