count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
2, 1000, 0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
3, 1500, 0.000, -0.000, 0.000, 0.000, -0.000, 0.000, 
4, 2000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 
5, 2500, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 
6, 3000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
7, 3500, 0.007, 0.000, 0.000, 0.000, -0.000, 0.002, 
8, 4000, 0.055, 0.000, 0.000, 0.000, -0.000, 0.006, 
9, 4500, 0.079, 0.000, 0.000, 0.000, -0.000, 0.004, 
10, 5000, 0.012, -0.000, 0.000, 0.000, -0.000, 0.010, 
11, 5500, -0.059, -0.001, 0.000, 0.000, -0.000, 0.014, 
12, 6000, -0.114, -0.002, 0.000, 0.000, -0.000, 0.025, 
13, 6500, -0.271, -0.010, 0.000, 0.000, -0.000, 0.095, 
14, 7000, -0.401, -0.028, 0.000, 0.000, -0.000, 0.174, 
15, 7500, -0.403, -0.029, 0.000, 0.000, -0.000, 0.173, 
16, 8000, -0.403, -0.029, 0.000, 0.000, -0.000, 0.174, 
17, 8500, -0.403, -0.029, 0.000, 0.000, -0.000, 0.174, 
18, 9000, -0.403, -0.029, 0.000, 0.000, -0.000, 0.174, 
19, 9500, -0.403, -0.029, 0.000, 0.000, -0.000, 0.174, 
20, 10000, -0.403, -0.029, 0.000, 0.000, -0.000, 0.175, 
21, 10500, -0.403, -0.029, 0.000, 0.000, -0.000, 0.175, 
22, 11000, -0.403, -0.029, 0.000, 0.000, -0.000, 0.175, 
23, 11500, -0.409, -0.030, 0.000, 0.000, -0.000, 0.177, 
24, 12000, -0.421, -0.032, 0.000, 0.000, -0.000, 0.182, 
25, 12500, -0.441, -0.035, 0.000, 0.000, -0.000, 0.191, 
26, 13000, -0.492, -0.046, 0.000, 0.000, -0.000, 0.211, 
27, 13500, -0.541, -0.057, 0.000, 0.000, -0.000, 0.232, 
28, 14000, -0.590, -0.069, 0.000, 0.000, -0.000, 0.247, 
29, 14500, -0.625, -0.078, 0.000, 0.000, -0.000, 0.260, 
30, 15000, -0.626, -0.078, 0.000, 0.000, -0.000, 0.260, 
31, 15500, -0.626, -0.078, 0.000, 0.000, -0.000, 0.260, 
32, 16000, -0.626, -0.078, 0.000, 0.000, -0.000, 0.261, 
33, 16500, -0.618, -0.076, 0.000, 0.000, -0.000, 0.260, 
34, 17000, -0.568, -0.063, 0.000, 0.000, -0.000, 0.278, 
35, 17500, -0.526, -0.050, 0.000, 0.000, -0.000, 0.316, 
36, 18000, -0.475, -0.031, 0.000, 0.000, -0.000, 0.370, 
37, 18500, -0.429, -0.012, 0.000, 0.000, -0.000, 0.416, 
38, 19000, -0.385, 0.008, 0.000, 0.000, -0.000, 0.462, 
39, 19500, -0.340, 0.032, 0.000, 0.000, -0.000, 0.508, 
40, 20000, -0.291, 0.061, 0.000, 0.000, -0.000, 0.558, 
41, 20500, -0.253, 0.085, 0.000, 0.000, -0.000, 0.607, 
42, 21000, -0.210, 0.117, 0.000, 0.000, -0.000, 0.651, 
43, 21500, -0.166, 0.152, 0.000, 0.000, -0.000, 0.696, 
44, 22000, -0.154, 0.162, 0.000, 0.000, -0.000, 0.713, 
45, 22500, -0.159, 0.158, 0.000, 0.000, -0.000, 0.710, 
46, 23000, -0.178, 0.142, 0.000, 0.000, -0.000, 0.699, 
47, 23500, -0.213, 0.112, 0.000, 0.000, -0.000, 0.713, 
48, 24000, -0.252, 0.077, 0.000, 0.000, -0.000, 0.748, 
49, 24500, -0.288, 0.043, 0.000, 0.000, -0.000, 0.785, 
50, 25000, -0.321, 0.008, 0.000, 0.000, -0.000, 0.821, 
51, 25500, -0.353, -0.027, 0.000, 0.000, -0.000, 0.856, 
52, 26000, -0.386, -0.066, 0.000, 0.000, -0.000, 0.892, 
53, 26500, -0.409, -0.096, 0.000, 0.000, -0.000, 0.927, 
54, 27000, -0.435, -0.131, 0.000, 0.000, -0.000, 0.956, 
55, 27500, -0.459, -0.167, 0.000, 0.000, -0.000, 0.988, 
56, 28000, -0.484, -0.207, 0.000, 0.000, -0.000, 1.019, 
57, 28500, -0.510, -0.251, 0.000, 0.000, -0.000, 1.059, 
58, 29000, -0.510, -0.251, 0.000, 0.000, -0.000, 1.058, 
59, 29500, -0.507, -0.245, 0.000, 0.000, -0.000, 1.055, 
60, 30000, -0.502, -0.236, 0.000, 0.000, -0.000, 1.051, 
61, 30500, -0.479, -0.196, 0.000, 0.000, -0.000, 1.054, 
62, 31000, -0.448, -0.139, 0.000, 0.000, -0.000, 1.098, 
63, 31500, -0.416, -0.071, 0.000, 0.000, -0.000, 1.176, 
64, 32000, -0.377, 0.035, 0.000, 0.000, -0.000, 1.262, 
65, 32500, -0.348, 0.146, 0.000, 0.000, -0.000, 1.379, 
66, 33000, -0.333, 0.259, 0.000, 0.000, -0.000, 1.493, 
67, 33500, -0.331, 0.370, 0.000, 0.000, -0.000, 1.609, 
68, 34000, -0.341, 0.483, 0.000, 0.000, -0.000, 1.713, 
69, 34500, -0.362, 0.593, 0.000, 0.000, -0.000, 1.816, 
70, 35000, -0.365, 0.602, 0.000, 0.000, -0.000, 1.826, 
71, 35500, -0.353, 0.555, 0.000, 0.000, -0.000, 1.800, 
