count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
2, 1000, 0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
3, 1500, 0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
4, 2000, 0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
5, 2500, -0.000, 0.000, 0.000, 0.000, 0.000, -0.001, 
6, 3000, -0.000, 0.000, 0.000, 0.000, 0.000, -0.001, 
7, 3500, -0.000, 0.000, 0.000, 0.000, 0.000, -0.001, 
8, 4000, 0.115, -0.000, 0.000, 0.000, 0.000, -0.002, 
9, 4500, 0.475, -0.005, 0.000, 0.000, 0.000, -0.029, 
10, 5000, 0.852, -0.019, 0.000, 0.000, 0.000, -0.048, 
11, 5500, 1.229, -0.041, 0.000, 0.000, 0.000, -0.054, 
12, 6000, 1.610, -0.058, 0.000, 0.000, 0.000, -0.034, 
13, 6500, 1.981, -0.071, 0.000, 0.000, 0.000, -0.029, 
14, 7000, 2.355, -0.078, 0.000, 0.000, 0.000, -0.018, 
15, 7500, 2.737, -0.082, 0.000, 0.000, 0.000, -0.005, 
16, 8000, 3.116, -0.084, 0.000, 0.000, -0.000, 0.008, 
17, 8500, 3.497, -0.078, 0.000, 0.000, -0.000, 0.012, 
18, 9000, 3.878, -0.078, 0.000, 0.000, 0.000, -0.007, 
19, 9500, 4.257, -0.081, 0.000, 0.000, 0.000, -0.013, 
20, 10000, 4.635, -0.085, 0.000, 0.000, 0.000, -0.008, 
21, 10500, 5.026, -0.085, 0.000, 0.000, -0.000, 0.014, 
22, 11000, 5.400, -0.078, 0.000, 0.000, -0.000, 0.027, 
23, 11500, 5.780, -0.070, 0.000, 0.000, -0.000, 0.017, 
24, 12000, 6.159, -0.064, 0.000, 0.000, -0.000, 0.004, 
25, 12500, 6.537, -0.063, 0.000, 0.000, 0.000, -0.006, 
26, 13000, 6.918, -0.067, 0.000, 0.000, -0.000, 0.001, 
27, 13500, 7.298, -0.066, 0.000, 0.000, -0.000, 0.004, 
28, 14000, 7.677, -0.068, 0.000, 0.000, 0.000, -0.013, 
29, 14500, 8.056, -0.070, 0.000, 0.000, 0.000, -0.006, 
30, 15000, 8.436, -0.071, 0.000, 0.000, 0.000, -0.002, 
31, 15500, 8.817, -0.077, 0.000, 0.000, 0.000, -0.028, 
32, 16000, 9.196, -0.092, 0.000, 0.000, 0.000, -0.046, 
33, 16500, 9.574, -0.113, 0.000, 0.000, 0.000, -0.060, 
34, 17000, 9.954, -0.134, 0.000, 0.000, 0.000, -0.058, 
35, 17500, 10.330, -0.155, 0.000, 0.000, 0.000, -0.054, 
36, 18000, 10.709, -0.173, 0.000, 0.000, 0.000, -0.034, 
37, 18500, 11.087, -0.189, 0.000, 0.000, 0.000, -0.049, 
38, 19000, 11.470, -0.212, 0.000, 0.000, 0.000, -0.071, 
39, 19500, 11.842, -0.239, 0.000, 0.000, 0.000, -0.085, 
40, 20000, 12.218, -0.276, 0.000, 0.000, 0.000, -0.119, 
41, 20500, 12.594, -0.325, 0.000, 0.000, 0.000, -0.132, 
42, 21000, 12.965, -0.377, 0.000, 0.000, 0.000, -0.142, 
43, 21500, 13.341, -0.432, 0.000, 0.000, 0.000, -0.135, 
44, 22000, 13.720, -0.478, 0.000, 0.000, 0.000, -0.111, 
45, 22500, 14.097, -0.515, 0.000, 0.000, 0.000, -0.092, 
46, 23000, 14.471, -0.546, 0.000, 0.000, 0.000, -0.067, 
47, 23500, 14.847, -0.567, 0.000, 0.000, 0.000, -0.044, 
48, 24000, 15.227, -0.586, 0.000, 0.000, 0.000, -0.055, 
49, 24500, 15.605, -0.608, 0.000, 0.000, 0.000, -0.062, 
50, 25000, 15.982, -0.632, 0.000, 0.000, 0.000, -0.067, 
51, 25500, 16.359, -0.656, 0.000, 0.000, 0.000, -0.057, 
52, 26000, 16.738, -0.679, 0.000, 0.000, 0.000, -0.059, 
53, 26500, 17.119, -0.702, 0.000, 0.000, 0.000, -0.063, 
54, 27000, 17.499, -0.727, 0.000, 0.000, 0.000, -0.069, 
55, 27500, 17.879, -0.752, 0.000, 0.000, 0.000, -0.062, 
56, 28000, 18.261, -0.772, 0.000, 0.000, 0.000, -0.043, 
57, 28500, 18.640, -0.790, 0.000, 0.000, 0.000, -0.041, 
58, 29000, 19.019, -0.805, 0.000, 0.000, 0.000, -0.041, 
59, 29500, 19.400, -0.820, 0.000, 0.000, 0.000, -0.041, 
60, 30000, 19.783, -0.834, 0.000, 0.000, 0.000, -0.035, 
61, 30500, 20.164, -0.846, 0.000, 0.000, 0.000, -0.020, 
62, 31000, 20.542, -0.852, 0.000, 0.000, 0.000, -0.008, 
63, 31500, 20.922, -0.854, 0.000, 0.000, -0.000, 0.005, 
64, 32000, 21.303, -0.849, 0.000, 0.000, -0.000, 0.008, 
65, 32500, 21.683, -0.849, 0.000, 0.000, 0.000, -0.007, 
66, 33000, 22.063, -0.854, 0.000, 0.000, 0.000, -0.017, 
67, 33500, 22.440, -0.866, 0.000, 0.000, 0.000, -0.041, 
68, 34000, 22.821, -0.887, 0.000, 0.000, 0.000, -0.067, 
69, 34500, 23.197, -0.913, 0.000, 0.000, 0.000, -0.071, 
70, 35000, 23.576, -0.939, 0.000, 0.000, 0.000, -0.072, 
71, 35500, 23.954, -0.966, 0.000, 0.000, 0.000, -0.061, 
