mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

1, 1122, 561000, -106.743, -38.456, -0.101, 
2, 1349, 674500, -98.769, -74.509, -0.100, 

1, 1122, 561000, -106.942, -41.900,  0.108, 
2, 1349, 674500, -98.411, -78.343,  0.079, 

1, 1121, 560500, -106.790, -38.439,  0.035, 
2, 1348, 674000, -99.118, -74.434, -0.050, 

1, 1121, 560500, -106.909, -41.900,  0.044, 
2, 1348, 674000, -98.399, -78.377,  0.081, 

1, 1120, 560000, -106.784, -38.440, -0.052, 
2, 1347, 673500, -99.118, -74.431, -0.050, 

1, 1120, 560000, -106.926, -41.910,  0.136, 
2, 1347, 673500, -98.278, -78.535,  0.088, 

1, 1120, 560000, -102.095, -40.967,  0.239, 
2, 1347, 673500, -93.367, -78.448,  0.086, 

1, 1119, 559500, -104.724, -39.610,  0.252, 
2, 1346, 673000, -95.468, -76.407,  0.124, 

1, 1119, 559500, -106.812, -38.421, -0.006, 
2, 1346, 673000, -98.811, -74.516,  0.140, 

1, 1119, 559500, -110.418, -38.233, -0.268, 
2, 1346, 673000, -102.481, -74.414, -0.136, 

1, 1119, 559500, -106.988, -41.946,  0.110, 
2, 1346, 673000, -98.165, -78.509,  0.091, 

1, 1118, 559000, -106.736, -38.471, -0.057, 
2, 1345, 672500, -99.100, -74.453, -0.050, 

1, 1118, 559000, -110.499, -38.427, -0.332, 
2, 1345, 672500, -102.495, -74.410, -0.137, 

1, 1118, 559000, -106.965, -41.966,  0.139, 
2, 1345, 672500, -98.165, -78.525,  0.091, 

1, 1118, 559000, -103.255, -37.070,  0.250, 
2, 1345, 672500, -95.378, -74.802,  0.065, 

1, 1117, 558500, -104.698, -39.653,  0.154, 
2, 1344, 672000, -95.486, -76.351, -0.009, 

1, 1117, 558500, -106.731, -38.443,  0.126, 
2, 1344, 672000, -97.662, -74.843, -0.114, 

1, 1117, 558500, -110.609, -38.643, -0.322, 
2, 1344, 672000, -101.177, -74.118, -0.381, 

1, 1117, 558500, -106.989, -42.058,  0.148, 
2, 1344, 672000, -98.159, -78.529,  0.064, 

1, 1116, 558000, -104.694, -39.670,  0.208, 
2, 1343, 671500, -95.477, -76.389, -0.084, 

1, 1116, 558000, -106.678, -38.491,  0.044, 
2, 1343, 671500, -97.651, -74.835, -0.114, 

1, 1116, 558000, -107.030, -42.113,  0.092, 
2, 1343, 671500, -98.189, -78.542,  0.091, 

1, 1115, 557500, -107.017, -42.061,  0.156, 
2, 1342, 671000, -98.308, -78.648,  0.093, 

1, 1115, 557500, -104.666, -39.681, -0.008, 
2, 1342, 671000, -95.509, -76.349, -0.253, 

1, 1115, 557500, -106.694, -38.503, -0.191, 
2, 1342, 671000, -97.696, -74.832, -0.118, 

