count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
2, 1000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, 
3, 1500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, 
4, 2000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
5, 2500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
6, 3000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
7, 3500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
8, 4000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
9, 4500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
10, 5000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
11, 5500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
12, 6000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.003, 
13, 6500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
14, 7000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
15, 7500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
16, 8000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
17, 8500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
18, 9000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
19, 9500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
20, 10000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
21, 10500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
22, 11000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
23, 11500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
24, 12000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
25, 12500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
26, 13000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
27, 13500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.002, 
28, 14000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.000, 
29, 14500,  0.000, -0.001,  0.000,  0.000, -0.000,  0.000, 
30, 15000,  0.000, -0.001,  0.000,  0.000, -0.000,  0.002, 
31, 15500,  0.000, -0.001,  0.000,  0.000, -0.000,  0.004, 
32, 16000,  0.018, -0.002,  0.000,  0.000, -0.000,  0.004, 
33, 16500,  0.132, -0.000,  0.000,  0.000, -0.000,  0.010, 
34, 17000,  0.305,  0.001,  0.000,  0.000, -0.000,  0.012, 
35, 17500,  0.523,  0.005,  0.000,  0.000, -0.000,  0.017, 
36, 18000,  0.817,  0.012,  0.000,  0.000, -0.000,  0.023, 
37, 18500,  1.182,  0.022,  0.000,  0.000, -0.000,  0.032, 
38, 19000,  1.664,  0.035,  0.000,  0.000, -0.000,  0.024, 
39, 19500,  2.161,  0.030,  0.000,  0.000,  0.000, -0.018, 
40, 20000,  2.653,  0.006,  0.000,  0.000,  0.000, -0.052, 
41, 20500,  3.143, -0.034,  0.000,  0.000,  0.000, -0.084, 
42, 21000,  3.630, -0.103,  0.000,  0.000,  0.000, -0.133, 
43, 21500,  4.119, -0.189,  0.000,  0.000,  0.000, -0.174, 
44, 22000,  4.599, -0.267,  0.000,  0.000,  0.000, -0.153, 
45, 22500,  5.083, -0.345,  0.000,  0.000,  0.000, -0.172, 
46, 23000,  5.566, -0.420,  0.000,  0.000,  0.000, -0.158, 
47, 23500,  6.050, -0.504,  0.000,  0.000,  0.000, -0.169, 
48, 24000,  6.534, -0.577,  0.000,  0.000,  0.000, -0.148, 
49, 24500,  7.021, -0.638,  0.000,  0.000,  0.000, -0.119, 
50, 25000,  7.511, -0.686,  0.000,  0.000,  0.000, -0.098, 
51, 25500,  7.999, -0.726,  0.000,  0.000,  0.000, -0.084, 
52, 26000,  8.489, -0.777,  0.000,  0.000,  0.000, -0.112, 
53, 26500,  8.975, -0.848,  0.000,  0.000,  0.000, -0.142, 
54, 27000,  9.459, -0.918,  0.000,  0.000,  0.000, -0.143, 
55, 27500,  9.947, -0.968,  0.000,  0.000,  0.000, -0.092, 
56, 28000, 10.436, -0.996,  0.000,  0.000,  0.000, -0.072, 
57, 28500, 10.923, -1.048,  0.000,  0.000,  0.000, -0.098, 
58, 29000, 11.411, -1.076,  0.000,  0.000,  0.000, -0.055, 
59, 29500, 11.901, -1.095,  0.000,  0.000,  0.000, -0.045, 
60, 30000, 12.393, -1.098,  0.000,  0.000, -0.000,  0.005, 
61, 30500, 12.883, -1.077,  0.000,  0.000, -0.000,  0.045, 
62, 31000, 13.372, -1.036,  0.000,  0.000, -0.000,  0.088, 
63, 31500, 13.860, -0.968,  0.000,  0.000, -0.000,  0.157, 
64, 32000, 14.342, -0.867,  0.000,  0.000, -0.000,  0.218, 
65, 32500, 14.821, -0.734,  0.000,  0.000, -0.000,  0.266, 
66, 33000, 15.299, -0.599,  0.000,  0.000, -0.000,  0.281, 
67, 33500, 15.772, -0.452,  0.000,  0.000, -0.000,  0.309, 
68, 34000, 16.241, -0.283,  0.000,  0.000, -0.000,  0.349, 
69, 34500, 16.699, -0.089,  0.000,  0.000, -0.000,  0.438, 
70, 35000, 17.136,  0.151,  0.000,  0.000, -0.000,  0.525, 
71, 35500, 17.555,  0.426,  0.000,  0.000, -0.000,  0.611, 
