count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

















18, 9000,  0.363,  2.129, -0.041, 
18, 9000,  0.330, -2.072,  0.183, 
18, 9000, -0.083,  2.124,  0.132, 
18, 9000,  0.084,  2.115, -0.355, 
18, 9000,  3.385, -3.410,  0.298, 
18, 9000, -0.033, -2.173,  0.113, 
18, 9000,  4.310, -2.751,  0.205, 
18, 9000, 10.783,  0.907,  0.563, 
18, 9000,  2.563, -3.814, -0.170, 
18, 9000,  2.999, -3.689,  0.133, 
18, 9000,  1.698, -4.205,  0.350, 
18, 9000,  0.332, -2.171, -0.265, 

19, 9500, -0.034,  2.123, -0.121, 
19, 9500,  0.328, -2.074,  0.084, 
19, 9500,  3.084, -3.555,  0.245, 
19, 9500, -0.110, -2.142,  0.187, 
19, 9500,  4.277, -2.724,  0.142, 
19, 9500,  2.552, -3.781, -0.087, 
19, 9500,  1.676, -4.177,  0.347, 
19, 9500,  1.754,  2.586,  0.273, 
19, 9500,  1.855,  2.655, -0.120, 
19, 9500,  1.079, -4.338, -0.009, 

20, 10000, -0.158,  2.041, -0.076, 
20, 10000,  0.326, -2.052,  0.058, 
20, 10000,  3.067, -3.557,  0.132, 
20, 10000, -0.143, -2.131,  0.165, 
20, 10000,  3.662, -3.161,  0.135, 
20, 10000,  2.554, -3.784, -0.087, 
20, 10000,  1.864,  2.573,  0.277, 
20, 10000,  1.957,  2.623, -0.121, 
20, 10000,  0.298, -2.120, -0.409, 
20, 10000,  2.434, -4.027,  0.410, 
20, 10000,  2.100, -4.138,  0.241, 

21, 10500, -0.074,  1.812, -0.004, 
21, 10500, -0.056, -1.895,  0.053, 
21, 10500,  2.732, -3.785, -0.173, 
21, 10500,  2.467,  2.481,  0.305, 
21, 10500,  2.380, -3.933,  0.401, 
21, 10500,  2.117, -4.176,  0.244, 
21, 10500,  4.314, -2.745,  0.143, 
21, 10500,  1.066, -4.333,  0.058, 
21, 10500,  0.101,  1.817, -0.067, 
21, 10500,  1.690, -4.204,  0.349, 

22, 11000, -0.014,  1.696,  0.088, 
22, 11000, -0.117, -1.773,  0.137, 
22, 11000,  2.585, -3.821, -0.088, 
22, 11000,  2.829,  2.456,  0.327, 
22, 11000,  2.428, -3.962,  0.358, 
22, 11000,  2.098, -4.120,  0.241, 
22, 11000,  1.025, -4.358, -0.009, 
22, 11000,  1.686, -4.199,  0.317, 
22, 11000,  0.290, -2.056,  0.058, 
22, 11000, 14.210,  4.695,  1.305, 
22, 11000,  3.656, -3.155,  0.063, 

23, 11500, -0.137,  1.836,  0.161, 
23, 11500, -0.162, -1.972,  0.079, 
23, 11500,  2.933,  2.495,  0.336, 
23, 11500,  2.371, -3.994,  0.405, 
23, 11500,  0.336, -2.059, -0.040, 
23, 11500,  1.414, -4.314,  0.059, 
23, 11500, 14.190,  4.703,  1.304, 
23, 11500, -0.101,  1.934, -0.371, 
23, 11500,  3.084, -3.554,  0.188, 

24, 12000, -0.101,  1.860,  0.052, 
24, 12000, -0.175, -2.024,  0.157, 
24, 12000,  3.149,  2.683,  0.361, 
24, 12000,  2.408, -3.931,  0.356, 
