count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
2, 1000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, 
3, 1500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, 
4, 2000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
5, 2500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
6, 3000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.001, 
7, 3500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
8, 4000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
9, 4500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
10, 5000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
11, 5500, -0.000,  0.000,  0.000,  0.000,  0.000, -0.002, 
12, 6000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.003, 
13, 6500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
14, 7000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
15, 7500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.003, 
16, 8000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
17, 8500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
18, 9000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.004, 
19, 9500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
20, 10000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
21, 10500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.005, 
22, 11000, -0.000, -0.001,  0.000,  0.000,  0.000, -0.006, 
23, 11500, -0.000, -0.001,  0.000,  0.000,  0.000, -0.006, 
24, 12000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.006, 
25, 12500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.007, 
26, 13000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.007, 
27, 13500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.008, 
28, 14000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.008, 
29, 14500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.009, 
30, 15000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.009, 
31, 15500,  0.000, -0.001,  0.000,  0.000,  0.000, -0.010, 
32, 16000,  0.018, -0.002,  0.000,  0.000,  0.000, -0.011, 
33, 16500,  0.132, -0.002,  0.000,  0.000,  0.000, -0.007, 
34, 17000,  0.305, -0.003,  0.000,  0.000,  0.000, -0.007, 
35, 17500,  0.523, -0.004,  0.000,  0.000,  0.000, -0.004, 
36, 18000,  0.818, -0.003,  0.000,  0.000, -0.000,  0.001, 
37, 18500,  1.184, -0.001,  0.000,  0.000, -0.000,  0.009, 
38, 19000,  1.670,  0.001,  0.000,  0.000, -0.000,  0.001, 
39, 19500,  2.171, -0.016,  0.000,  0.000,  0.000, -0.045, 
40, 20000,  2.668, -0.054,  0.000,  0.000,  0.000, -0.084, 
41, 20500,  3.163, -0.111,  0.000,  0.000,  0.000, -0.120, 
42, 21000,  3.655, -0.197,  0.000,  0.000,  0.000, -0.176, 
43, 21500,  4.147, -0.306,  0.000,  0.000,  0.000, -0.218, 
44, 22000,  4.631, -0.407,  0.000,  0.000,  0.000, -0.198, 
45, 22500,  5.120, -0.508,  0.000,  0.000,  0.000, -0.219, 
46, 23000,  5.609, -0.608,  0.000,  0.000,  0.000, -0.206, 
47, 23500,  6.098, -0.717,  0.000,  0.000,  0.000, -0.218, 
48, 24000,  6.587, -0.816,  0.000,  0.000,  0.000, -0.198, 
49, 24500,  7.079, -0.903,  0.000,  0.000,  0.000, -0.169, 
50, 25000,  7.574, -0.977,  0.000,  0.000,  0.000, -0.148, 
51, 25500,  8.069, -1.042,  0.000,  0.000,  0.000, -0.133, 
52, 26000,  8.565, -1.119,  0.000,  0.000,  0.000, -0.161, 
53, 26500,  9.058, -1.215,  0.000,  0.000,  0.000, -0.190, 
54, 27000,  9.548, -1.310,  0.000,  0.000,  0.000, -0.189, 
55, 27500, 10.044, -1.384,  0.000,  0.000,  0.000, -0.132, 
56, 28000, 10.542, -1.433,  0.000,  0.000,  0.000, -0.110, 
57, 28500, 11.037, -1.505,  0.000,  0.000,  0.000, -0.133, 
58, 29000, 11.534, -1.551,  0.000,  0.000,  0.000, -0.081, 
59, 29500, 12.033, -1.584,  0.000,  0.000,  0.000, -0.069, 
60, 30000, 12.533, -1.599,  0.000,  0.000,  0.000, -0.012, 
61, 30500, 13.031, -1.585,  0.000,  0.000, -0.000,  0.032, 
62, 31000, 13.529, -1.550,  0.000,  0.000, -0.000,  0.077, 
63, 31500, 14.025, -1.487,  0.000,  0.000, -0.000,  0.145, 
64, 32000, 14.514, -1.390,  0.000,  0.000, -0.000,  0.206, 
65, 32500, 15.000, -1.261,  0.000,  0.000, -0.000,  0.256, 
66, 33000, 15.483, -1.130,  0.000,  0.000, -0.000,  0.272, 
67, 33500, 15.961, -0.986,  0.000,  0.000, -0.000,  0.300, 
68, 34000, 16.435, -0.821,  0.000,  0.000, -0.000,  0.342, 
69, 34500, 16.897, -0.629,  0.000,  0.000, -0.000,  0.423, 
70, 35000, 17.339, -0.395,  0.000,  0.000, -0.000,  0.501, 
71, 35500, 17.766, -0.128,  0.000,  0.000, -0.000,  0.578, 
