count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500, -0.236, -0.121,  0.000,  0.000,  0.000, -0.036, 
2, 1000, -0.236, -0.121,  0.000,  0.000,  0.000, -0.036, 
3, 1500, -0.236, -0.121,  0.000,  0.000,  0.000, -0.036, 
4, 2000, -0.236, -0.121,  0.000,  0.000,  0.000, -0.037, 
5, 2500, -0.236, -0.121,  0.000,  0.000,  0.000, -0.037, 
6, 3000, -0.236, -0.121,  0.000,  0.000,  0.000, -0.038, 
7, 3500, -0.236, -0.121,  0.000,  0.000,  0.000, -0.038, 
8, 4000, -0.236, -0.121,  0.000,  0.000,  0.000, -0.038, 
9, 4500, -0.236, -0.121,  0.000,  0.000,  0.000, -0.039, 
10, 5000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.039, 
11, 5500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.039, 
12, 6000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.040, 
13, 6500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.040, 
14, 7000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.040, 
15, 7500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.041, 
16, 8000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.041, 
17, 8500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.041, 
18, 9000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.042, 
19, 9500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.042, 
20, 10000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.042, 
21, 10500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.042, 
22, 11000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.042, 
23, 11500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.043, 
24, 12000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.043, 
25, 12500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.043, 
26, 13000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.044, 
27, 13500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.044, 
28, 14000, -0.236, -0.122,  0.000,  0.000,  0.000, -0.044, 
29, 14500, -0.236, -0.122,  0.000,  0.000,  0.000, -0.044, 
30, 15000, -0.237, -0.123,  0.000,  0.000,  0.000, -0.045, 
31, 15500, -0.237, -0.123,  0.000,  0.000,  0.000, -0.045, 
32, 16000, -0.237, -0.123,  0.000,  0.000,  0.000, -0.045, 
33, 16500, -0.237, -0.123,  0.000,  0.000,  0.000, -0.046, 
34, 17000, -0.237, -0.123,  0.000,  0.000,  0.000, -0.046, 
35, 17500, -0.237, -0.123,  0.000,  0.000,  0.000, -0.046, 
36, 18000, -0.237, -0.123,  0.000,  0.000,  0.000, -0.049, 
37, 18500, -0.237, -0.123,  0.000,  0.000,  0.000, -0.050, 
38, 19000, -0.237, -0.123,  0.000,  0.000,  0.000, -0.050, 
39, 19500, -0.237, -0.124,  0.000,  0.000,  0.000, -0.050, 
40, 20000, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
41, 20500, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
42, 21000, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
43, 21500, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
44, 22000, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
45, 22500, -0.237, -0.124,  0.000,  0.000,  0.000, -0.051, 
