count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000,  0.191,  0.598, -0.001, 
2, 1000,  0.549, -2.155, -0.043, 
2, 1000,  0.063,  0.599,  0.022, 
2, 1000,  4.114, -2.952,  0.439, 
2, 1000,  2.922, -3.818, -0.274, 
2, 1000,  0.737,  1.888,  0.055, 
2, 1000,  2.506, -4.142,  0.063, 
2, 1000,  2.878, -3.931,  0.375, 
2, 1000,  1.971, -4.353,  0.297, 
2, 1000,  0.742,  1.833, -0.321, 
2, 1000, -0.059, -5.246,  0.212, 
2, 1000,  1.956, -4.440, -0.092, 
2, 1000,  4.634, -2.739,  0.375, 

3, 1500,  0.137,  0.600, -0.081, 
3, 1500,  0.584, -2.106,  0.062, 
3, 1500,  0.071,  0.353, -0.166, 
3, 1500,  4.090, -2.960,  0.352, 
3, 1500,  2.875, -3.661, -0.265, 
3, 1500,  0.742,  1.769, -0.311, 
3, 1500,  2.643, -3.866,  0.361, 
3, 1500,  2.076, -4.250,  0.247, 
3, 1500,  1.497, -4.425, -0.009, 
3, 1500,  3.374, -3.377,  0.062, 
3, 1500,  7.102,  7.027,  0.397, 
3, 1500, 14.021,  5.434,  1.049, 
3, 1500, 16.392, 19.193,  1.007, 

4, 2000,  0.134,  0.549, -0.125, 
4, 2000,  0.583, -2.112,  0.029, 
4, 2000,  0.064,  0.312, -0.145, 
4, 2000,  4.053, -2.945,  0.349, 
4, 2000,  2.872, -3.767, -0.175, 
4, 2000,  2.608, -3.804,  0.240, 
4, 2000,  2.053, -4.136,  0.129, 
4, 2000,  3.380, -3.391,  0.062, 
4, 2000, 13.992,  5.359,  1.300, 
4, 2000,  0.076,  0.523, -0.037, 
4, 2000, -0.462, -5.145, -0.099, 

5, 2500,  0.069,  0.485, -0.017, 
5, 2500,  0.584, -2.144,  0.117, 
5, 2500,  0.073,  0.343, -0.161, 
5, 2500,  4.139, -2.890,  0.201, 
5, 2500,  2.957, -3.692, -0.269, 
5, 2500,  2.605, -3.834,  0.404, 
5, 2500,  2.056, -4.153,  0.186, 
5, 2500,  3.400, -3.398,  0.062, 
5, 2500, 14.064,  5.386,  1.307, 
5, 2500, -0.192, -5.157,  0.323, 
5, 2500,  0.247,  0.613,  0.008, 
5, 2500,  0.856,  1.798,  0.054, 
5, 2500,  5.511,  1.221, -0.206, 

6, 3000,  0.070,  0.479, -0.025, 
6, 3000,  0.590, -2.151, -0.005, 
6, 3000,  3.392, -3.416,  0.134, 
6, 3000,  2.917, -3.740, -0.270, 
6, 3000,  2.594, -3.834,  0.403, 
6, 3000,  2.071, -4.272,  0.247, 
6, 3000, 14.041,  5.410,  1.155, 
6, 3000, -0.169, -5.120,  0.269, 
6, 3000,  0.837,  1.816, -0.111, 
6, 3000,  5.558,  0.975, -0.206, 
6, 3000,  0.122,  0.377, -0.190, 
6, 3000, 12.959, 19.344,  1.208, 
6, 3000,  4.079, -2.964,  0.351, 

7, 3500,  0.064,  0.529, -0.009, 
7, 3500,  0.567, -2.151,  0.090, 
7, 3500,  3.363, -3.555, -0.093, 
7, 3500,  2.689, -3.835,  0.328, 
7, 3500, 13.991,  5.327,  1.299, 
7, 3500, -0.165, -5.145,  0.270, 
7, 3500,  0.789,  1.892,  0.174, 
7, 3500,  5.497,  0.418,  0.218, 
7, 3500, 12.959, 19.344,  1.208, 
7, 3500,  3.706, -3.228,  0.137, 
7, 3500,  0.546, -4.686, -0.090, 
7, 3500,  0.713,  1.926, -0.285, 
7, 3500, 15.353, 11.779,  1.681, 

8, 4000,  0.070,  0.514, -0.027, 
8, 4000,  0.561, -2.135,  0.029, 
8, 4000,  3.380, -3.567, -0.093, 
8, 4000,  2.654, -3.883,  0.363, 
8, 4000, 14.043,  5.346,  1.304, 
8, 4000, -0.171, -5.155,  0.271, 
8, 4000,  0.651,  1.740,  0.157, 
8, 4000,  5.445,  0.086,  0.469, 
8, 4000, 12.990, 19.348,  0.930, 
8, 4000,  0.547, -4.692, -0.090, 
8, 4000, 15.523, 11.812,  1.362, 
8, 4000,  0.175,  0.649, -0.023, 
8, 4000,  4.055, -2.952,  0.385, 

9, 4500,  0.060,  0.588, -0.054, 
9, 4500,  0.550, -2.147,  0.139, 
9, 4500,  3.390, -3.415,  0.134, 
9, 4500,  2.696, -3.903,  0.413, 
9, 4500, 14.100,  5.448,  1.161, 
9, 4500, -0.200, -5.119,  0.321, 
9, 4500,  0.724,  1.695,  0.111, 
9, 4500,  5.800,  0.816,  0.301, 
9, 4500, 12.938, 19.396,  1.210, 
9, 4500,  0.620,  1.750, -0.389, 
9, 4500,  2.920, -3.682, -0.268, 

10, 5000,  0.096,  0.618, -0.033, 
10, 5000,  0.559, -2.146,  0.195, 
10, 5000,  3.361, -3.392,  0.133, 
10, 5000,  2.670, -3.883,  0.411, 
10, 5000, 14.117,  5.438,  1.162, 
10, 5000, -0.270, -5.156,  0.365, 
10, 5000,  0.612,  1.621, -0.202, 
10, 5000,  5.713,  0.489,  0.227, 
10, 5000, 12.905, 19.345,  1.440, 
10, 5000,  2.996, -3.712, -0.010, 

11, 5500,  0.592,  1.621, -0.280, 
11, 5500,  0.576, -2.132,  0.116, 
11, 5500,  3.371, -3.389,  0.133, 
11, 5500,  2.748, -3.897,  0.415, 
11, 5500, 14.127,  5.442,  1.162, 
11, 5500, -0.220, -5.192,  0.367, 
11, 5500,  5.692,  0.442,  0.158, 
11, 5500,  2.882, -3.694, -0.267, 
11, 5500,  0.055,  1.044, -0.508, 

12, 6000,  0.716,  1.714, -0.389, 
12, 6000,  0.568, -2.147,  0.173, 
12, 6000,  3.365, -3.411,  0.134, 
12, 6000,  2.634, -3.837,  0.405, 
12, 6000, 14.058,  5.463,  1.309, 
12, 6000, -0.474, -5.152, -0.010, 
12, 6000,  4.159, -2.956,  0.264, 
12, 6000,  0.568, -2.159, -0.043, 
12, 6000,  2.876, -3.688, -0.173, 
12, 6000, 15.606, 11.776,  1.503, 

13, 6500,  0.858,  1.778,  0.054, 
13, 6500,  0.572, -2.145,  0.139, 
13, 6500,  2.788, -3.880,  0.416, 
13, 6500, 14.120,  5.407,  1.161, 
13, 6500, -0.281, -5.169,  0.403, 
13, 6500,  3.714, -3.256,  0.197, 
13, 6500,  2.874, -3.692, -0.173, 
13, 6500,  5.875,  0.767,  0.305, 

14, 7000,  0.728,  1.689, -0.137, 
14, 7000,  0.576, -2.151,  0.117, 
14, 7000,  2.627, -3.818,  0.404, 
14, 7000, 14.120,  5.423,  1.161, 
14, 7000, -0.281, -5.162,  0.402, 
14, 7000,  3.394, -3.426,  0.135, 
14, 7000,  2.894, -3.814, -0.177, 
14, 7000,  6.007,  0.741,  0.372, 
14, 7000,  4.448, -2.830, -0.100, 
14, 7000,  0.714,  1.703,  0.093, 
14, 7000,  7.069,  7.021,  0.694, 
14, 7000, 12.957, 19.339,  1.628, 
14, 7000, 20.243, 12.883,  1.245, 

15, 7500,  0.689,  1.683, -0.212, 
15, 7500,  0.559, -2.169,  0.090, 
15, 7500,  2.496, -4.087,  0.249, 
15, 7500, -0.285, -5.140,  0.400, 
15, 7500,  3.419, -3.466,  0.136, 
15, 7500,  5.950,  0.639, -0.112, 
15, 7500,  3.690, -3.241,  0.196, 
15, 7500,  0.464, -4.732, -0.010, 
15, 7500,  2.060, -4.140,  0.325, 

16, 8000,  0.775,  1.847, -0.326, 
16, 8000,  0.554, -2.166,  0.158, 
16, 8000,  2.603, -3.832,  0.357, 
16, 8000, -0.183, -5.187,  0.272, 
16, 8000,  3.383, -3.408,  0.062, 
16, 8000,  5.936,  0.864,  0.309, 
16, 8000,  0.742, -4.711, -0.010, 
16, 8000,  2.043, -4.203,  0.244, 
16, 8000, 14.097,  5.334,  1.308, 

17, 8500,  0.833,  1.934, -0.343, 
17, 8500,  0.559, -2.149,  0.090, 
17, 8500,  2.631, -3.883,  0.361, 
17, 8500, -0.269, -5.136,  0.322, 
17, 8500,  3.425, -3.465,  0.063, 
17, 8500,  5.884,  0.845,  0.365, 
17, 8500,  2.038, -4.180,  0.242, 
17, 8500, 14.091,  5.379,  1.158, 
17, 8500,  0.973,  1.958,  0.132, 
17, 8500,  4.149, -2.917,  0.262, 
17, 8500,  0.443,  2.108, -0.162, 
17, 8500,  7.115,  7.025,  0.517, 
17, 8500,  2.874, -3.708, -0.267, 

18, 9000,  0.822,  1.855, -0.238, 
18, 9000,  0.548, -2.160,  0.117, 
18, 9000,  2.584, -3.812,  0.355, 
18, 9000, -0.293, -5.109,  0.268, 
18, 9000,  3.448, -3.476,  0.254, 
18, 9000,  5.874,  0.825,  0.452, 
18, 9000,  4.174, -2.879,  0.262, 
18, 9000,  2.892, -3.654, -0.265, 
18, 9000, 13.012, 19.297,  1.208, 

19, 9500,  0.847,  1.834, -0.193, 
19, 9500,  0.566, -2.156,  0.158, 
19, 9500,  2.596, -3.872,  0.406, 
19, 9500, -0.470, -5.172, -0.010, 
19, 9500,  3.421, -3.504,  0.303, 
19, 9500,  5.957,  0.604, -0.112, 
19, 9500,  3.701, -3.258,  0.196, 
19, 9500,  2.837, -3.858, -0.010, 
19, 9500,  0.380,  2.154,  0.086, 
19, 9500,  0.540, -2.166, -0.222, 
19, 9500,  2.074, -4.170,  0.289, 

20, 10000,  0.709,  1.867,  0.120, 
20, 10000,  0.544, -2.143,  0.139, 
20, 10000,  2.575, -3.831,  0.402, 
20, 10000, -0.471, -5.182, -0.010, 
20, 10000,  3.656, -3.217,  0.194, 
20, 10000,  5.953,  0.651,  0.415, 
20, 10000,  2.867, -3.794, -0.176, 
20, 10000,  2.042, -4.212,  0.291, 
20, 10000,  7.090,  7.028,  0.615, 
20, 10000,  3.544, -3.420, -0.182, 
20, 10000,  4.397, -2.809, -0.099, 
20, 10000, 14.121,  5.391,  1.161, 
20, 10000, -0.283, -5.196,  0.368, 

21, 10500,  0.663,  1.669,  0.122, 
21, 10500,  0.560, -2.152,  0.117, 
21, 10500,  2.578, -3.835,  0.403, 
21, 10500, -0.471, -5.177, -0.010, 
21, 10500,  3.383, -3.436,  0.062, 
21, 10500,  5.934,  0.720,  0.367, 
21, 10500,  2.868, -3.708, -0.267, 
21, 10500,  2.042, -4.211,  0.291, 
21, 10500,  0.587, -2.131, -0.127, 
21, 10500, 13.047, 19.307,  0.930, 

22, 11000,  0.570,  1.648,  0.068, 
22, 11000,  0.567, -2.154, -0.128, 
22, 11000,  2.578, -3.835,  0.403, 
22, 11000, -0.272, -5.193,  0.273, 
22, 11000,  3.389, -3.428,  0.134, 
22, 11000,  5.931,  0.845,  0.415, 
22, 11000,  2.863, -3.693, -0.266, 
22, 11000,  2.041, -4.198,  0.290, 
22, 11000, 12.978, 19.329,  1.441, 
22, 11000, 14.106,  5.321,  1.309, 
22, 11000,  4.428, -2.785, -0.099, 

23, 11500,  0.588,  1.625, -0.095, 
23, 11500,  0.560, -2.161,  0.117, 
23, 11500,  2.548, -3.807,  0.399, 
23, 11500, -0.469, -5.157, -0.010, 
23, 11500,  3.387, -3.433,  0.135, 
23, 11500,  5.989,  0.956,  0.463, 
23, 11500,  2.860, -3.697, -0.266, 
23, 11500,  2.016, -4.167,  0.288, 
23, 11500, 14.080,  5.440,  1.310, 
23, 11500,  4.417, -2.790, -0.099, 
23, 11500, 16.482, 18.951,  1.304, 

24, 12000,  0.686,  1.675, -0.100, 
24, 12000,  0.557, -2.148,  0.117, 
24, 12000,  2.547, -3.805,  0.399, 
24, 12000, -0.477, -5.188, -0.011, 
24, 12000,  3.419, -3.509,  0.303, 
24, 12000,  6.104,  0.845,  0.470, 
24, 12000,  2.865, -3.799, -0.176, 
24, 12000,  2.013, -4.159,  0.287, 
24, 12000, 14.151,  5.306,  1.312, 
24, 12000,  4.390, -2.810, -0.098, 
24, 12000, 15.669, 11.775,  1.369, 
24, 12000,  3.966, -3.061, -0.010, 
24, 12000,  0.456, -4.744, -0.010, 

25, 12500,  0.597,  1.668,  0.048, 
25, 12500,  0.553, -2.161,  0.090, 
25, 12500,  2.531, -3.780,  0.396, 
25, 12500, -0.291, -5.152,  0.365, 
25, 12500,  3.533, -3.382,  0.425, 
25, 12500,  2.887, -3.829, -0.177, 
25, 12500,  2.027, -4.211,  0.328, 
25, 12500,  4.409, -2.822, -0.099, 
25, 12500, 15.665, 11.748,  1.505, 
25, 12500,  3.967, -3.062, -0.010, 
25, 12500,  0.472, -4.760, -0.010, 

26, 13000,  0.464,  1.597,  0.064, 
26, 13000,  0.560, -2.161,  0.117, 
26, 13000,  2.539, -3.801,  0.398, 
26, 13000, -0.241, -5.188,  0.367, 
26, 13000,  3.412, -3.501,  0.302, 
26, 13000,  2.887, -3.829, -0.177, 
26, 13000,  2.004, -4.163,  0.287, 
26, 13000,  4.407, -2.827, -0.099, 
26, 13000, 15.655, 11.741,  1.504, 
26, 13000,  0.451, -4.750, -0.010, 
26, 13000,  6.169,  0.779, -0.228, 
26, 13000,  6.130,  0.621,  0.532, 
26, 13000, 14.145,  5.368,  1.162, 
26, 13000, -0.509, -5.240, -0.011, 

27, 13500,  0.439,  1.646,  0.127, 
27, 13500,  0.551, -2.164,  0.063, 
27, 13500,  2.546, -3.804,  0.399, 
27, 13500, -0.485, -5.158, -0.010, 
27, 13500,  3.381, -3.441,  0.135, 
