count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500,  0.064,  0.038,  0.000,  0.000,  0.000, -0.062, 
2, 1000,  0.064,  0.038,  0.000,  0.000,  0.000, -0.062, 
3, 1500,  0.064,  0.038,  0.000,  0.000,  0.000, -0.062, 
4, 2000,  0.064,  0.038,  0.000,  0.000,  0.000, -0.063, 
5, 2500,  0.064,  0.038,  0.000,  0.000,  0.000, -0.063, 
6, 3000,  0.064,  0.038,  0.000,  0.000,  0.000, -0.064, 
7, 3500,  0.064,  0.038,  0.000,  0.000,  0.000, -0.064, 
8, 4000,  0.064,  0.038,  0.000,  0.000,  0.000, -0.064, 
9, 4500,  0.064,  0.038,  0.000,  0.000,  0.000, -0.065, 
10, 5000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.065, 
11, 5500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.065, 
12, 6000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.066, 
13, 6500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.066, 
14, 7000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.066, 
15, 7500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.067, 
16, 8000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.067, 
17, 8500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.067, 
18, 9000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.068, 
19, 9500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.068, 
20, 10000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.068, 
21, 10500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.068, 
22, 11000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.068, 
23, 11500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.069, 
24, 12000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.069, 
25, 12500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.069, 
26, 13000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.070, 
27, 13500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.070, 
28, 14000,  0.064,  0.037,  0.000,  0.000,  0.000, -0.070, 
29, 14500,  0.064,  0.037,  0.000,  0.000,  0.000, -0.070, 
30, 15000,  0.064,  0.036,  0.000,  0.000,  0.000, -0.071, 
31, 15500,  0.064,  0.036,  0.000,  0.000,  0.000, -0.071, 
32, 16000,  0.064,  0.036,  0.000,  0.000,  0.000, -0.071, 
33, 16500,  0.064,  0.036,  0.000,  0.000,  0.000, -0.072, 
34, 17000,  0.064,  0.036,  0.000,  0.000,  0.000, -0.072, 
35, 17500,  0.064,  0.036,  0.000,  0.000,  0.000, -0.071, 
36, 18000,  0.064,  0.036,  0.000,  0.000,  0.000, -0.074, 
37, 18500,  0.064,  0.036,  0.000,  0.000,  0.000, -0.075, 
38, 19000,  0.064,  0.036,  0.000,  0.000,  0.000, -0.075, 
39, 19500,  0.064,  0.035,  0.000,  0.000,  0.000, -0.075, 
40, 20000,  0.064,  0.035,  0.000,  0.000,  0.000, -0.076, 
41, 20500,  0.064,  0.035,  0.000,  0.000,  0.000, -0.075, 
42, 21000,  0.064,  0.035,  0.000,  0.000,  0.000, -0.075, 
43, 21500,  0.064,  0.035,  0.000,  0.000,  0.000, -0.074, 
44, 22000,  0.064,  0.035,  0.000,  0.000,  0.000, -0.075, 
45, 22500,  0.064,  0.035,  0.000,  0.000,  0.000, -0.074, 
46, 23000,  0.064,  0.035,  0.000,  0.000,  0.000, -0.074, 
47, 23500,  0.126,  0.030,  0.000,  0.000,  0.000, -0.073, 
48, 24000,  0.266,  0.020,  0.000,  0.000,  0.000, -0.072, 
49, 24500,  0.461,  0.011,  0.000,  0.000,  0.000, -0.052, 
50, 25000,  0.665,  0.001,  0.000,  0.000,  0.000, -0.052, 
51, 25500,  0.898, -0.011,  0.000,  0.000,  0.000, -0.050, 
52, 26000,  1.177, -0.023,  0.000,  0.000,  0.000, -0.040, 
53, 26500,  1.468, -0.027,  0.000,  0.000,  0.000, -0.017, 
54, 27000,  1.777, -0.037,  0.000,  0.000,  0.000, -0.029, 
55, 27500,  2.176, -0.051,  0.000,  0.000,  0.000, -0.036, 
56, 28000,  2.608, -0.078,  0.000,  0.000,  0.000, -0.066, 
57, 28500,  3.109, -0.117,  0.000,  0.000,  0.000, -0.078, 
58, 29000,  3.608, -0.164,  0.000,  0.000,  0.000, -0.097, 
59, 29500,  4.106, -0.219,  0.000,  0.000,  0.000, -0.121, 
60, 30000,  4.596, -0.301,  0.000,  0.000,  0.000, -0.175, 
61, 30500,  5.088, -0.394,  0.000,  0.000,  0.000, -0.178, 
62, 31000,  5.582, -0.476,  0.000,  0.000,  0.000, -0.161, 
63, 31500,  6.079, -0.552,  0.000,  0.000,  0.000, -0.146, 
64, 32000,  6.575, -0.621,  0.000,  0.000,  0.000, -0.141, 
65, 32500,  7.073, -0.702,  0.000,  0.000,  0.000, -0.170, 
