count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
1, 500,  3.406,  0.877,  0.297, 
1, 500,  6.092, -3.626,  0.296, 

2, 1000,  3.405,  0.878,  0.296, 
2, 1000,  0.110, -2.402, -0.047, 
2, 1000,  0.224,  1.776,  0.052, 
2, 1000,  0.524,  1.664, -0.107, 
2, 1000,  2.412, -3.972, -0.179, 
2, 1000,  3.527, -3.309,  0.066, 
2, 1000,  1.576, -4.375,  0.335, 
2, 1000,  3.613, -3.262,  0.447, 
2, 1000,  2.983, -3.691,  0.199, 
2, 1000,  2.207, -4.164,  0.377, 

3, 1500,  3.844,  0.660,  0.220, 
3, 1500,  0.110, -2.382,  0.032, 
3, 1500,  0.252,  1.648,  0.049, 
3, 1500,  2.419, -3.951, -0.178, 
3, 1500,  2.941, -3.677,  0.138, 
3, 1500,  1.583, -4.406,  0.299, 
3, 1500,  3.673, -3.182,  0.359, 
3, 1500,  0.101, -4.922, -0.010, 

4, 2000,  0.139, -2.399,  0.032, 
4, 2000,  0.384,  1.448,  0.064, 
4, 2000,  2.959, -3.689,  0.198, 
4, 2000,  1.563, -4.380,  0.335, 
4, 2000,  2.275, -4.108,  0.376, 
4, 2000,  0.138, -2.419, -0.243, 

5, 2500,  0.133, -2.424, -0.141, 
5, 2500,  0.276,  1.442,  0.044, 
5, 2500,  2.997, -3.733,  0.200, 
5, 2500,  1.567, -4.376,  0.296, 
5, 2500,  2.261, -4.097,  0.374, 
5, 2500,  0.143, -2.434,  0.129, 
5, 2500,  5.152,  0.193,  0.422, 

6, 3000,  0.163, -2.408, -0.005, 
6, 3000,  0.210,  1.424, -0.115, 
6, 3000,  2.977, -3.729,  0.138, 
6, 3000,  1.565, -4.386,  0.333, 
6, 3000,  2.058, -4.102,  0.363, 
6, 3000,  5.755,  0.279,  0.426, 
6, 3000,  0.108, -2.437, -0.415, 
6, 3000,  0.990, -4.620, -0.010, 
6, 3000,  3.717, -3.220,  0.363, 

7, 3500,  0.171, -2.413,  0.172, 
7, 3500,  2.908, -3.699,  0.132, 
7, 3500,  1.959, -4.331,  0.249, 
7, 3500,  2.281, -4.063,  0.362, 
7, 3500,  6.371,  0.006,  0.465, 
7, 3500,  0.149, -2.458, -0.357, 
7, 3500,  0.876, -4.625, -0.090, 
7, 3500,  3.634, -3.239,  0.313, 
7, 3500,  2.398, -4.013, -0.179, 
7, 3500,  0.241,  1.382, -0.004, 
7, 3500,  4.082, -3.071, -0.097, 

8, 4000,  0.163, -2.404,  0.128, 
8, 4000,  3.252, -3.475,  0.286, 
8, 4000,  2.205, -4.241,  0.410, 
8, 4000,  2.504, -4.094,  0.372, 
8, 4000,  6.828,  0.152,  0.419, 
8, 4000,  1.244, -4.432, -0.087, 
8, 4000,  3.779, -3.129,  0.302, 
8, 4000,  2.473, -3.835, -0.169, 
8, 4000,  0.207,  1.353,  0.053, 
8, 4000,  1.645, -4.412,  0.294, 
8, 4000,  6.658,  6.781,  0.817, 

9, 4500,  3.089, -3.587,  0.123, 
9, 4500,  2.398, -4.099,  0.399, 
9, 4500,  7.205,  0.075,  0.356, 
9, 4500,  1.211, -4.537, -0.009, 
9, 4500,  3.623, -3.195, -0.009, 
9, 4500,  2.761, -3.802, -0.252, 
9, 4500,  1.743, -4.338,  0.282, 
9, 4500,  0.192,  1.392, -0.027, 
9, 4500, 10.346,  1.261,  0.510, 
9, 4500,  4.090, -2.976, -0.088, 
9, 4500, 13.515,  5.567,  1.236, 
9, 4500, 14.974, 11.846,  1.451, 

10, 5000,  3.001, -3.534,  0.119, 
10, 5000,  2.488, -4.042,  0.309, 
10, 5000,  7.600,  0.176,  0.485, 
10, 5000,  1.221, -4.584, -0.009, 
10, 5000,  3.641, -3.065, -0.081, 
10, 5000,  3.926, -3.020,  0.274, 

11, 5500,  3.241, -3.434,  0.213, 
11, 5500,  7.978,  0.101,  0.599, 
11, 5500,  1.400, -4.565, -0.088, 
11, 5500,  3.608, -3.051, -0.011, 
11, 5500,  3.963, -3.016,  0.364, 
11, 5500,  4.196, -2.874, -0.079, 

12, 6000,  3.767, -3.105, -0.007, 
12, 6000,  8.526,  0.569,  0.488, 
12, 6000,  2.572, -3.989,  0.362, 
12, 6000,  4.388, -2.832, -0.074, 
12, 6000,  1.605, -4.546, -0.009, 
12, 6000, 10.502,  1.420,  0.540, 
12, 6000,  3.178, -3.492,  0.107, 
12, 6000, 10.408,  2.515,  0.760, 

13, 6500,  4.178, -2.899,  0.239, 
13, 6500,  4.128, -2.981, -0.135, 
13, 6500,  4.435, -2.812, -0.193, 
13, 6500, 10.113,  1.706,  0.497, 
13, 6500,  2.928, -3.766, -0.295, 
13, 6500, 15.571, 17.791,  1.569, 

14, 7000,  4.300, -2.837,  0.237, 
14, 7000,  4.546, -2.742, -0.175, 
14, 7000,  9.290,  0.616,  0.562, 
14, 7000,  3.763, -3.248,  0.133, 
14, 7000, 14.191, 12.786,  1.485, 
14, 7000,  2.825, -4.017,  0.308, 
14, 7000, 10.532,  2.629,  0.415, 
14, 7000, 10.337,  1.682,  0.308, 
14, 7000,  4.001, -3.084, -0.063, 

15, 7500,  4.430, -2.700, -0.005, 
15, 7500,  4.662, -2.644, -0.008, 
15, 7500,  9.398,  0.818,  0.490, 
15, 7500,  6.526,  7.134,  0.221, 
15, 7500, 13.495,  5.872,  1.028, 

16, 8000,  4.568, -2.656, -0.050, 
16, 8000,  9.549,  0.389,  0.513, 
16, 8000,  6.724,  7.051,  0.217, 
16, 8000, 10.229,  1.424,  0.347, 
16, 8000,  3.983, -3.027, -0.160, 

17, 8500,  4.698, -2.738, -0.050, 
17, 8500,  9.899,  0.521, -0.223, 
17, 8500,  7.180,  6.877,  0.313, 
17, 8500, 10.583,  1.956,  0.091, 
17, 8500, 23.656, -8.154, -0.041, 
17, 8500,  4.053, -2.934, -0.264, 
17, 8500,  5.841, -2.942,  0.129, 
17, 8500, 10.344,  1.417, -0.237, 

18, 9000,  4.889, -2.683,  0.149, 
18, 9000, 10.243,  1.567,  0.228, 
18, 9000,  4.729, -2.662, -0.089, 
18, 9000,  5.896, -2.927,  0.179, 
18, 9000,  5.168, -2.753, -0.423, 
18, 9000, 10.383,  0.325,  0.303, 
18, 9000, 15.016, -5.737,  0.994, 
18, 9000, 14.355, 12.492,  1.381, 

19, 9500,  4.979, -2.686,  0.169, 
19, 9500, 10.215,  1.715,  0.144, 
19, 9500,  5.883, -2.862,  0.133, 
19, 9500,  5.440, -3.013, -0.324, 
19, 9500, 15.664, -0.300,  0.132, 
19, 9500, 10.999,  0.480,  0.245, 
