count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
1, 500,  3.664,  0.968,  0.297, 
1, 500,  6.036, -3.707,  0.296, 

2, 1000,  3.664,  0.968,  0.296, 
2, 1000,  0.151, -2.077, -0.047, 
2, 1000,  0.552,  2.083,  0.052, 
2, 1000,  0.843,  1.950, -0.107, 
2, 1000,  2.339, -3.801, -0.179, 
2, 1000,  3.498, -3.218,  0.066, 
2, 1000,  1.478, -4.146,  0.335, 
2, 1000,  3.587, -3.176,  0.447, 
2, 1000,  2.928, -3.561,  0.199, 
2, 1000,  2.121, -3.979,  0.377, 

3, 1500,  4.087,  0.719,  0.220, 
3, 1500,  0.151, -2.058,  0.032, 
3, 1500,  0.571,  1.953,  0.049, 
3, 1500,  2.346, -3.783, -0.178, 
3, 1500,  2.886, -3.545,  0.138, 
3, 1500,  1.481, -4.178,  0.299, 
3, 1500,  3.650, -3.102,  0.359, 
3, 1500, -0.034, -4.590, -0.010, 

4, 2000,  0.178, -2.076,  0.032, 
4, 2000,  0.690,  1.744,  0.064, 
4, 2000,  2.901, -3.560,  0.198, 
4, 2000,  1.461, -4.152,  0.335, 
4, 2000,  2.190, -3.930,  0.376, 
4, 2000,  0.175, -2.096, -0.243, 

5, 2500,  0.169, -2.101, -0.141, 
5, 2500,  0.582,  1.746,  0.044, 
5, 2500,  2.935, -3.608,  0.200, 
5, 2500,  1.463, -4.148,  0.296, 
5, 2500,  2.175, -3.919,  0.374, 
5, 2500,  0.178, -2.112,  0.129, 
5, 2500,  5.359,  0.158,  0.422, 

6, 3000,  0.200, -2.088, -0.005, 
6, 3000,  0.515,  1.732, -0.115, 
6, 3000,  2.913, -3.603,  0.138, 
6, 3000,  1.459, -4.159,  0.333, 
6, 3000,  1.971, -3.910,  0.363, 
6, 3000,  5.966,  0.200,  0.426, 
6, 3000,  0.142, -2.113, -0.415, 
6, 3000,  0.869, -4.351, -0.010, 
6, 3000,  3.687, -3.147,  0.363, 

7, 3500,  0.207, -2.093,  0.172, 
7, 3500,  2.846, -3.569,  0.132, 
