count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
2, 1000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 
3, 1500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
4, 2000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
5, 2500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
6, 3000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
7, 3500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
8, 4000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
9, 4500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
10, 5000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
11, 5500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
12, 6000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.003, 
13, 6500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.003, 
14, 7000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.003, 
15, 7500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.003, 
16, 8000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
17, 8500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
18, 9000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
19, 9500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
20, 10000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
21, 10500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
22, 11000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
23, 11500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
24, 12000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
25, 12500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
26, 13000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
27, 13500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
28, 14000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
29, 14500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
30, 15000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
31, 15500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
32, 16000, 0.018, -0.002, 0.000, 0.000, 0.000, -0.009, 
33, 16500, 0.132, -0.002, 0.000, 0.000, 0.000, -0.005, 
34, 17000, 0.305, -0.003, 0.000, 0.000, 0.000, -0.006, 
35, 17500, 0.523, -0.003, 0.000, 0.000, 0.000, -0.003, 
36, 18000, 0.817, -0.002, 0.000, 0.000, -0.000, 0.002, 
37, 18500, 1.183, 0.000, 0.000, 0.000, -0.000, 0.010, 
38, 19000, 1.668, 0.003, 0.000, 0.000, -0.000, 0.001, 
39, 19500, 2.167, -0.014, 0.000, 0.000, 0.000, -0.049, 
40, 20000, 2.663, -0.054, 0.000, 0.000, 0.000, -0.089, 
41, 20500, 3.156, -0.113, 0.000, 0.000, 0.000, -0.127, 
42, 21000, 3.646, -0.203, 0.000, 0.000, 0.000, -0.191, 
43, 21500, 4.135, -0.319, 0.000, 0.000, 0.000, -0.238, 
44, 22000, 4.616, -0.429, 0.000, 0.000, 0.000, -0.218, 
45, 22500, 5.102, -0.540, 0.000, 0.000, 0.000, -0.239, 
46, 23000, 5.588, -0.649, 0.000, 0.000, 0.000, -0.226, 
47, 23500, 6.074, -0.768, 0.000, 0.000, 0.000, -0.238, 
48, 24000, 6.560, -0.876, 0.000, 0.000, 0.000, -0.217, 
49, 24500, 7.049, -0.972, 0.000, 0.000, 0.000, -0.187, 
50, 25000, 7.542, -1.055, 0.000, 0.000, 0.000, -0.165, 
51, 25500, 8.035, -1.128, 0.000, 0.000, 0.000, -0.150, 
52, 26000, 8.529, -1.213, 0.000, 0.000, 0.000, -0.177, 
53, 26500, 9.019, -1.317, 0.000, 0.000, 0.000, -0.207, 
54, 27000, 9.507, -1.421, 0.000, 0.000, 0.000, -0.207, 
55, 27500, 10.000, -1.503, 0.000, 0.000, 0.000, -0.152, 
56, 28000, 10.496, -1.562, 0.000, 0.000, 0.000, -0.131, 
57, 28500, 10.989, -1.644, 0.000, 0.000, 0.000, -0.155, 
58, 29000, 11.484, -1.701, 0.000, 0.000, 0.000, -0.106, 
59, 29500, 11.981, -1.746, 0.000, 0.000, 0.000, -0.095, 
60, 30000, 12.480, -1.774, 0.000, 0.000, 0.000, -0.041, 
61, 30500, 12.978, -1.775, 0.000, 0.000, -0.000, 0.001, 
62, 31000, 13.476, -1.755, 0.000, 0.000, -0.000, 0.047, 
63, 31500, 13.974, -1.707, 0.000, 0.000, -0.000, 0.112, 
64, 32000, 14.465, -1.627, 0.000, 0.000, -0.000, 0.169, 
65, 32500, 14.955, -1.516, 0.000, 0.000, -0.000, 0.216, 
66, 33000, 15.443, -1.404, 0.000, 0.000, -0.000, 0.231, 
67, 33500, 15.926, -1.280, 0.000, 0.000, -0.000, 0.258, 
68, 34000, 16.406, -1.135, 0.000, 0.000, -0.000, 0.296, 
69, 34500, 16.876, -0.964, 0.000, 0.000, -0.000, 0.366, 
70, 35000, 17.331, -0.756, 0.000, 0.000, -0.000, 0.434, 
71, 35500, 17.774, -0.519, 0.000, 0.000, -0.000, 0.501, 
