count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
1, 500, 0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
2, 1000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
3, 1500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.000, 
4, 2000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
5, 2500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.001, 
6, 3000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
7, 3500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
8, 4000, -0.000, -0.000, 0.000, 0.000, 0.000, -0.002, 
9, 4500, -0.000, -0.000, 0.000, 0.000, 0.000, -0.003, 
10, 5000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.003, 
11, 5500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.003, 
12, 6000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
13, 6500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
14, 7000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.004, 
15, 7500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
16, 8000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
17, 8500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.005, 
18, 9000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
19, 9500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
20, 10000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
21, 10500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
22, 11000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.006, 
23, 11500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
24, 12000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
25, 12500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.007, 
26, 13000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
27, 13500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
28, 14000, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
29, 14500, -0.000, -0.001, 0.000, 0.000, 0.000, -0.008, 
30, 15000, -0.000, -0.002, 0.000, 0.000, 0.000, -0.009, 
31, 15500, -0.000, -0.002, 0.000, 0.000, 0.000, -0.009, 
32, 16000, -0.000, -0.002, 0.000, 0.000, 0.000, -0.009, 
33, 16500, -0.000, -0.002, 0.000, 0.000, 0.000, -0.010, 
34, 17000, -0.000, -0.002, 0.000, 0.000, 0.000, -0.010, 
35, 17500, -0.000, -0.002, 0.000, 0.000, 0.000, -0.010, 
36, 18000, -0.000, -0.002, 0.000, 0.000, 0.000, -0.013, 
37, 18500, -0.000, -0.002, 0.000, 0.000, 0.000, -0.014, 
38, 19000, -0.000, -0.002, 0.000, 0.000, 0.000, -0.014, 
39, 19500, -0.000, -0.003, 0.000, 0.000, 0.000, -0.014, 
40, 20000, -0.000, -0.003, 0.000, 0.000, 0.000, -0.015, 
41, 20500, -0.000, -0.003, 0.000, 0.000, 0.000, -0.015, 
42, 21000, -0.000, -0.003, 0.000, 0.000, 0.000, -0.015, 
43, 21500, -0.000, -0.003, 0.000, 0.000, 0.000, -0.015, 
44, 22000, -0.000, -0.003, 0.000, 0.000, 0.000, -0.016, 
45, 22500, -0.000, -0.003, 0.000, 0.000, 0.000, -0.016, 
46, 23000, -0.000, -0.003, 0.000, 0.000, 0.000, -0.016, 
47, 23500, 0.062, -0.004, 0.000, 0.000, 0.000, -0.016, 
48, 24000, 0.202, -0.006, 0.000, 0.000, 0.000, -0.015, 
49, 24500, 0.397, -0.004, 0.000, 0.000, -0.000, 0.004, 
50, 25000, 0.601, -0.003, 0.000, 0.000, -0.000, 0.004, 
51, 25500, 0.834, -0.002, 0.000, 0.000, -0.000, 0.005, 
52, 26000, 1.112, 0.002, 0.000, 0.000, -0.000, 0.014, 
53, 26500, 1.402, 0.014, 0.000, 0.000, -0.000, 0.037, 
54, 27000, 1.710, 0.020, 0.000, 0.000, -0.000, 0.024, 
55, 27500, 2.107, 0.027, 0.000, 0.000, -0.000, 0.016, 
56, 28000, 2.538, 0.023, 0.000, 0.000, 0.000, -0.015, 
57, 28500, 3.037, 0.009, 0.000, 0.000, 0.000, -0.028, 
58, 29000, 3.535, -0.013, 0.000, 0.000, 0.000, -0.049, 
59, 29500, 4.032, -0.044, 0.000, 0.000, 0.000, -0.074, 
60, 30000, 4.523, -0.102, 0.000, 0.000, 0.000, -0.134, 
61, 30500, 5.015, -0.175, 0.000, 0.000, 0.000, -0.138, 
62, 31000, 5.509, -0.237, 0.000, 0.000, 0.000, -0.123, 
63, 31500, 6.005, -0.293, 0.000, 0.000, 0.000, -0.110, 
64, 32000, 6.501, -0.344, 0.000, 0.000, 0.000, -0.107, 
65, 32500, 6.998, -0.408, 0.000, 0.000, 0.000, -0.137, 
66, 33000, 7.492, -0.495, 0.000, 0.000, 0.000, -0.177, 
67, 33500, 7.985, -0.584, 0.000, 0.000, 0.000, -0.172, 
68, 34000, 8.478, -0.659, 0.000, 0.000, 0.000, -0.144, 
69, 34500, 8.975, -0.717, 0.000, 0.000, 0.000, -0.114, 
70, 35000, 9.473, -0.754, 0.000, 0.000, 0.000, -0.067, 
71, 35500, 9.974, -0.770, 0.000, 0.000, 0.000, -0.021, 
