mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

1, 64, 32000, 15.353, -6.285, -0.011, 
1, 1076, 538000, 16.273, -8.975,  0.164, 

1, 64, 32000, 16.700,  3.010,  0.374, 
1, 1076, 538000, 16.626,  2.783,  0.074, 

1, 63, 31500, 15.136,  5.152,  0.564, 
1, 1077, 538500, 16.773,  2.761, -0.106, 

1, 63, 31500, 26.841, -1.364,  1.147, 
1, 1077, 538500, 15.797, -6.562,  0.151, 

1, 62, 31000, 14.893, -7.691,  0.086, 
1, 1078, 539000,  8.823, -5.108,  0.380, 

1, 62, 31000, 14.978,  5.204,  0.574, 
1, 1078, 539000, 16.855,  2.788, -0.107, 

1, 61, 30500, 15.192, -6.323, -0.011, 
1, 1079, 539500, 14.849, -7.937,  0.373, 

1, 61, 30500, 16.519,  3.052,  0.078, 
1, 1079, 539500, 17.164,  2.771, -0.011, 

1, 60, 30000, 15.160, -6.349,  0.074, 
1, 1080, 540000, 14.674, -8.027,  0.220, 

1, 60, 30000, 16.534,  3.013,  0.532, 
1, 1080, 540000, 15.574,  4.900,  0.390, 

1, 59, 29500, 11.630,  0.804,  0.147, 
1, 1081, 540500, 12.496,  0.684,  0.050, 

1, 59, 29500, 14.612,  5.327,  0.199, 
1, 1081, 540500, 15.638,  4.906,  0.578, 

1, 58, 29000, 23.408,  4.513,  1.021, 
1, 1082, 541000, 12.369,  0.649,  0.093, 

1, 57, 28500, 11.680,  0.719,  0.181, 
1, 1083, 541500, 12.490,  0.635,  0.123, 

1, 57, 28500, 23.593, -8.575, -0.553, 
1, 1083, 541500, 11.127, -9.339, -0.015, 

1, 56, 28000, 11.302,  0.889,  0.095, 
1, 1084, 542000, 12.434,  0.620,  0.149, 

1, 56, 28000,  9.437, -8.774, -0.015, 
1, 1084, 542000,  9.751, -8.906, -0.015, 

1, 55, 27500, 10.869,  1.092,  0.125, 
1, 1085, 542500, 12.388,  0.626,  0.210, 

1, 55, 27500,  8.954, -8.648,  0.098, 
1, 1085, 542500, 11.337, -9.374, -0.140, 

1, 54, 27000,  8.439, -3.722, -0.157, 
1, 1086, 543000,  9.006, -3.686, -0.007, 

1, 54, 27000,  9.100, -8.671, -0.015, 
1, 1086, 543000,  9.438, -8.832, -0.015, 

1, 54, 27000, 10.604,  1.268,  0.135, 
1, 1086, 543000, 12.208,  0.655,  0.166, 

1, 53, 26500,  8.202, -3.342, -0.139, 
1, 1087, 543500,  8.916, -3.596, -0.060, 

1, 53, 26500, 10.769,  1.095,  0.112, 
1, 1087, 543500, 12.138,  0.643,  0.135, 

1, 52, 26000,  7.786, -3.252,  0.098, 
1, 1088, 544000,  8.973, -3.601, -0.102, 

1, 51, 25500, 10.512,  1.187,  0.296, 
1, 1089, 544500, 11.693,  1.031, -0.105, 

1, 51, 25500,  7.657, -3.227, -0.235, 
1, 1089, 544500,  8.914, -3.587, -0.099, 

1, 51, 25500, 14.306, -7.629,  0.120, 
1, 1089, 544500,  9.418, -8.897, -0.141, 

1, 50, 25000,  7.042, -3.110, -0.132, 
1, 1090, 545000,  8.862, -3.528, -0.131, 

1, 49, 24500,  6.576, -3.110, -0.046, 
1, 1091, 545500,  8.501, -3.436, -0.235, 

1, 48, 24000,  5.808, -2.930,  0.164, 
1, 1092, 546000,  7.801, -3.294, -0.133, 

1, 48, 24000, 14.067,  5.409,  0.862, 
1, 1092, 546000,  8.318,  6.793,  0.227, 

1, 47, 23500,  5.137, -2.747,  0.092, 
1, 1093, 546500,  7.737, -3.270, -0.220, 

1, 47, 23500, 14.157,  5.474,  0.647, 
1, 1093, 546500,  8.358,  6.810,  0.497, 

1, 46, 23000,  5.203, -2.703,  0.090, 
1, 1094, 547000,  7.986, -2.700, -0.090, 

1, 46, 23000,  4.726, -2.630, -0.085, 
1, 1094, 547000,  5.940, -2.840,  0.258, 

1, 46, 23000,  7.456,  6.905,  0.214, 
1, 1094, 547000,  2.804,  2.453,  0.520, 

1, 45, 22500,  4.762, -2.632, -0.086, 
1, 1095, 547500,  6.989, -3.239,  0.065, 

1, 44, 22000,  4.782, -2.659, -0.089, 
1, 1096, 548000,  6.829, -3.173,  0.198, 

1, 43, 21500,  4.826, -2.585, -0.007, 
1, 1097, 548500,  6.519, -3.141, -0.274, 

1, 43, 21500,  6.999,  7.095,  0.102, 
1, 1097, 548500,  8.339,  6.838,  0.686, 

1, 42, 21000, 10.307,  1.778,  0.374, 
1, 1098, 549000,  8.308,  6.923,  0.216, 

1, 42, 21000,  4.627, -2.619, -0.105, 
1, 1098, 549000,  5.954, -2.772, -0.439, 

1, 42, 21000,  3.128, -3.645, -0.350, 
1, 1098, 549000,  3.568, -3.667,  0.293, 

1, 41, 20500,  2.758, -3.761,  0.232, 
1, 1099, 549500,  2.623, -4.279, -0.014, 

1, 41, 20500,  3.872, -3.105, -0.189, 
1, 1099, 549500,  4.671, -2.998, -0.205, 

1, 40, 20000,  2.667, -3.824,  0.268, 
1, 1100, 550000,  3.553, -3.725,  0.322, 

1, 40, 20000,  3.536, -3.144,  0.091, 
1, 1100, 550000,  4.346, -3.152,  0.215, 

1, 39, 19500,  4.086, -2.880,  0.279, 
1, 1101, 550500,  4.794, -3.192,  0.229, 

1, 39, 19500,  1.935, -4.260,  0.172, 
1, 1101, 550500,  2.891, -4.288,  0.268, 

1, 39, 19500,  2.708, -3.795, -0.224, 
1, 1101, 550500,  3.572, -3.733,  0.305, 

1, 39, 19500,  5.171,  2.205, -0.313, 
1, 1101, 550500,  2.748,  2.878,  0.324, 

1, 38, 19000,  3.151, -3.511,  0.050, 
1, 1102, 551000,  3.473, -3.728,  0.241, 

1, 38, 19000,  1.474, -4.328, -0.083, 
1, 1102, 551000,  2.419, -4.293, -0.009, 

1, 37, 18500,  1.793, -4.213,  0.175, 
1, 1103, 551500,  2.496, -4.240, -0.008, 

1, 37, 18500,  4.334,  2.136,  0.347, 
1, 1103, 551500,  2.622,  3.069,  0.267, 

1, 37, 18500,  3.137, -3.547,  0.114, 
1, 1103, 551500,  3.845, -3.751, -0.127, 

1, 36, 18000,  1.261, -4.375, -0.084, 
1, 1104, 552000,  2.062, -4.191, -0.082, 

1, 36, 18000,  3.990,  2.484,  0.367, 
1, 1104, 552000,  2.740,  3.229,  0.274, 

1, 36, 18000,  3.172, -3.479,  0.055, 
1, 1104, 552000,  3.250, -3.925, -0.439, 

1, 35, 17500,  3.766,  2.608,  0.121, 
1, 1105, 552500,  2.613,  3.219,  0.265, 

1, 35, 17500,  0.451, -2.127, -0.164, 
1, 1105, 552500,  1.291, -2.088,  0.069, 

1, 35, 17500,  1.796, -4.180,  0.228, 
1, 1105, 552500,  2.005, -4.231, -0.078, 

1, 34, 17000,  0.249,  1.608, -0.092, 
1, 1106, 553000,  1.087,  1.048, -0.265, 

1, 34, 17000,  0.148, -2.073,  0.129, 
1, 1106, 553000,  1.218, -2.040,  0.183, 

1, 34, 17000,  1.199, -4.352, -0.084, 
1, 1106, 553000,  1.157, -4.569, -0.009, 

1, 33, 16500,  0.198,  1.609, -0.003, 
1, 1107, 553500,  1.045,  1.052, -0.254, 

1, 33, 16500, -0.032, -2.043,  0.144, 
1, 1107, 553500,  0.977, -1.982,  0.164, 

1, 33, 16500,  3.561,  2.638,  0.230, 
1, 1107, 553500,  2.449,  3.199,  0.205, 

1, 33, 16500,  1.786, -4.156,  0.179, 
