count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
































33, 16500,  2.744, -6.604, -0.136, 
33, 16500,  0.151,  1.884,  0.025, 
33, 16500,  1.106,  0.720, -0.049, 
33, 16500,  0.727, -4.315, -0.162, 
33, 16500, -0.220, -3.424, -0.265, 
33, 16500,  5.806, -1.563,  0.078, 
33, 16500,  6.554, -10.719,  1.096, 

34, 17000,  2.729, -6.625, -0.014, 
34, 17000,  0.151,  1.891,  0.025, 
34, 17000,  0.701,  0.734, -0.078, 
34, 17000,  0.724, -4.300, -0.161, 
34, 17000, -0.176, -3.497, -0.344, 
34, 17000,  5.835, -1.565,  0.079, 
34, 17000,  6.688, -9.781,  1.033, 
34, 17000,  0.225, -3.697,  0.286, 

35, 17500,  2.590, -6.683,  0.287, 
35, 17500,  0.291,  0.667, -0.139, 
35, 17500,  0.382,  0.631, -0.160, 
35, 17500,  0.691, -4.313, -0.162, 
35, 17500, -0.147, -3.474, -0.268, 
35, 17500,  5.912, -1.573,  0.171, 
35, 17500,  6.713, -9.796,  1.036, 
35, 17500, -0.215, -3.505,  0.246, 
35, 17500,  3.661,  2.190,  0.222, 
35, 17500,  5.869, -6.561, -0.018, 
35, 17500, -0.157,  1.879,  0.145, 
35, 17500, 10.004, -8.564,  0.171, 

36, 18000,  2.866, -6.579, -0.136, 
36, 18000,  0.315,  0.662, -0.123, 
36, 18000,  0.748, -4.309, -0.009, 
36, 18000, -0.205, -3.456, -0.340, 
36, 18000,  6.365, -1.484,  0.183, 
36, 18000,  5.890, -6.364,  0.113, 
36, 18000,  3.768,  2.198,  0.271, 
36, 18000, -0.162,  1.847,  0.074, 
36, 18000,  6.407, -5.933,  0.454, 
36, 18000,  0.042,  0.819, -0.047, 

37, 18500,  0.148,  0.816,  0.064, 
37, 18500,  0.735, -4.289, -0.083, 
37, 18500, -0.173, -3.509, -0.345, 
37, 18500,  6.740, -1.430,  0.193, 
37, 18500,  6.122, -5.726, -0.017, 
37, 18500,  3.981,  1.840,  0.272, 
37, 18500,  0.400,  0.769, -0.188, 
37, 18500,  5.139, -8.539,  0.519, 

38, 19000,  0.110,  1.837, -0.222, 
38, 19000,  0.695, -4.313, -0.162, 
38, 19000, -0.029, -3.491, -0.343, 
38, 19000,  7.172, -1.350,  0.292, 
38, 19000,  6.250, -5.243,  0.326, 
38, 19000,  0.662,  0.756, -0.019, 
38, 19000,  6.604, -9.825,  1.033, 
38, 19000,  2.730, -6.628, -0.014, 
38, 19000,  0.099,  1.879,  0.145, 
38, 19000,  2.733, -11.899,  1.065, 
38, 19000,  7.557, -8.976,  0.823, 
38, 19000, -0.158,  1.855,  0.116, 

39, 19500,  0.116,  1.874, -0.107, 
39, 19500,  0.724, -4.302, -0.162, 
39, 19500, -0.148, -3.585, -0.205, 
39, 19500,  7.588, -1.271,  0.215, 
39, 19500,  6.273, -5.062, -0.016, 
39, 19500,  6.721, -9.786,  1.035, 
39, 19500,  2.735, -6.640, -0.014, 
39, 19500,  2.736, -11.912,  1.066, 
39, 19500, -0.159,  1.882,  0.132, 
39, 19500,  1.217,  0.578, -0.361, 
