count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 500,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
2, 1000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
3, 1500, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
4, 2000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
5, 2500, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
6, 3000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
7, 3500, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
8, 4000,  0.011, -0.000,  0.000,  0.000, -0.000,  0.000, 
9, 4500,  0.043, -0.000,  0.000,  0.000, -0.000,  0.000, 
10, 5000,  0.062, -0.000,  0.000,  0.000,  0.000, -0.002, 
11, 5500,  0.079,  0.000,  0.000,  0.000, -0.000,  0.001, 
12, 6000,  0.101,  0.001,  0.000,  0.000, -0.000,  0.003, 
13, 6500,  0.123,  0.001,  0.000,  0.000, -0.000,  0.003, 
14, 7000,  0.190, -0.000,  0.000,  0.000,  0.000, -0.002, 
15, 7500,  0.488, -0.003,  0.000,  0.000,  0.000, -0.008, 
16, 8000,  0.841, -0.003,  0.000,  0.000, -0.000,  0.007, 
17, 8500,  1.320, -0.002,  0.000,  0.000,  0.000, -0.004, 
18, 9000,  1.816, -0.007,  0.000,  0.000,  0.000, -0.012, 
19, 9500,  2.309, -0.022,  0.000,  0.000,  0.000, -0.031, 
20, 10000,  2.799, -0.076,  0.000,  0.000,  0.000, -0.127, 
21, 10500,  3.291, -0.146,  0.000,  0.000,  0.000, -0.138, 
22, 11000,  3.784, -0.217,  0.000,  0.000,  0.000, -0.142, 
23, 11500,  4.276, -0.280,  0.000,  0.000,  0.000, -0.127, 
24, 12000,  4.768, -0.335,  0.000,  0.000,  0.000, -0.107, 
25, 12500,  5.263, -0.382,  0.000,  0.000,  0.000, -0.096, 
26, 13000,  5.755, -0.431,  0.000,  0.000,  0.000, -0.104, 
27, 13500,  6.247, -0.490,  0.000,  0.000,  0.000, -0.120, 
28, 14000,  6.740, -0.551,  0.000,  0.000,  0.000, -0.124, 
29, 14500,  7.232, -0.617,  0.000,  0.000,  0.000, -0.143, 
30, 15000,  7.718, -0.704,  0.000,  0.000,  0.000, -0.183, 
31, 15500,  8.203, -0.807,  0.000,  0.000,  0.000, -0.215, 
32, 16000,  8.687, -0.921,  0.000,  0.000,  0.000, -0.235, 
33, 16500,  9.170, -1.041,  0.000,  0.000,  0.000, -0.245, 
34, 17000,  9.648, -1.160,  0.000,  0.000,  0.000, -0.240, 
35, 17500, 10.136, -1.257,  0.000,  0.000,  0.000, -0.199, 
36, 18000, 10.615, -1.344,  0.000,  0.000,  0.000, -0.171, 
37, 18500, 11.107, -1.404,  0.000,  0.000,  0.000, -0.115, 
38, 19000, 11.601, -1.436,  0.000,  0.000,  0.000, -0.060, 
39, 19500, 12.095, -1.473,  0.000,  0.000,  0.000, -0.083, 
40, 20000, 12.590, -1.514,  0.000,  0.000,  0.000, -0.079, 
41, 20500, 13.085, -1.555,  0.000,  0.000,  0.000, -0.087, 
42, 21000, 13.580, -1.604,  0.000,  0.000,  0.000, -0.105, 
43, 21500, 14.075, -1.656,  0.000,  0.000,  0.000, -0.102, 
44, 22000, 14.571, -1.688,  0.000,  0.000,  0.000, -0.053, 
45, 22500, 15.064, -1.721,  0.000,  0.000,  0.000, -0.066, 
46, 23000, 15.556, -1.758,  0.000,  0.000,  0.000, -0.077, 
47, 23500, 16.046, -1.799,  0.000,  0.000,  0.000, -0.082, 
48, 24000, 16.536, -1.830,  0.000,  0.000,  0.000, -0.056, 
49, 24500, 17.031, -1.848,  0.000,  0.000,  0.000, -0.034, 
50, 25000, 17.524, -1.855,  0.000,  0.000,  0.000, -0.010, 
51, 25500, 18.018, -1.840,  0.000,  0.000, -0.000,  0.041, 
52, 26000, 18.513, -1.810,  0.000,  0.000, -0.000,  0.056, 
53, 26500, 19.009, -1.786,  0.000,  0.000, -0.000,  0.044, 
54, 27000, 19.504, -1.763,  0.000,  0.000, -0.000,  0.046, 
55, 27500, 20.000, -1.744,  0.000,  0.000, -0.000,  0.038, 
56, 28000, 20.495, -1.731,  0.000,  0.000, -0.000,  0.022, 
57, 28500, 20.989, -1.748,  0.000,  0.000,  0.000, -0.051, 
58, 29000, 21.482, -1.799,  0.000,  0.000,  0.000, -0.103, 
59, 29500, 21.974, -1.849,  0.000,  0.000,  0.000, -0.100, 
60, 30000, 22.467, -1.886,  0.000,  0.000,  0.000, -0.070, 
61, 30500, 22.959, -1.904,  0.000,  0.000,  0.000, -0.022, 
62, 31000, 23.453, -1.898,  0.000,  0.000, -0.000,  0.011, 
63, 31500, 23.947, -1.885,  0.000,  0.000, -0.000,  0.028, 
64, 32000, 24.440, -1.863,  0.000,  0.000, -0.000,  0.045, 
65, 32500, 24.934, -1.836,  0.000,  0.000, -0.000,  0.056, 
66, 33000, 25.428, -1.810,  0.000,  0.000, -0.000,  0.050, 
67, 33500, 25.921, -1.781,  0.000,  0.000, -0.000,  0.061, 
68, 34000, 26.415, -1.750,  0.000,  0.000, -0.000,  0.063, 
69, 34500, 26.910, -1.721,  0.000,  0.000, -0.000,  0.061, 
70, 35000, 27.404, -1.697,  0.000,  0.000, -0.000,  0.047, 
71, 35500, 27.897, -1.684,  0.000,  0.000, -0.000,  0.021, 
